Source;Target;Label;Weight
30;1;2;2
33;1;L;1
39;1;2;2
42;1;L;0.5
55;1;2;2
62;1;2;2
63;1;L;0.5
78;1;1;5
79;1;L;0.5
81;1;3L;1.5
86;1;C;5
89;1;3;1
97;1;L;0.5
103;1;13;6
112;1;3;1
114;1;1;5
6;2;C;5
18;2;C;5
55;2;C;5
91;2;C;5
100;2;C;5
127;2;2;2
11;3;C;5
17;3;C;5
23;3;C;5
24;3;C;5
36;3;C;5
39;3;C;5
48;3;C;5
77;3;1;5
80;3;C;5
81;3;1;5
89;3;C;5
105;3;C;5
111;3;C;5
115;3;C;5
24;4;1;5
127;4;2;2
15;5;C;5
16;5;C;5
17;5;2;2
28;5;C1;10
38;5;C;5
50;5;C;5
52;5;C;5
72;5;1;5
76;5;C;5
79;5;2;2
92;5;C;5
98;5;C;5
106;5;C;5
108;5;2;2
113;5;3;1
115;5;2;2
117;5;C;5
2;6;C;5
18;6;C;5
52;6;2;2
55;6;C;5
85;6;1;5
91;6;C;5
100;6;C;5
12;7;C;5
21;7;C;5
25;7;C;5
33;7;1;5
38;7;3;1
47;7;C;5
48;7;2;2
51;7;C;5
56;7;C;5
73;7;C;5
86;7;1;5
95;7;C;5
115;7;2;2
116;7;C;5
119;7;C;5
123;7;C;5
126;7;C;5
12;8;1;5
19;8;1;5
33;8;2;2
97;8;2;2
115;8;1;5
13;9;C;5
15;9;3;1
31;9;3;1
45;9;2;2
48;9;2;2
54;9;C;5
60;9;1;5
62;9;C;5
94;9;C;5
112;9;2;2
116;9;1;5
3;11;C;5
17;11;C;5
23;11;C;5
24;11;C;5
25;11;1;5
31;11;1;5
36;11;C;5
39;11;C;5
48;11;C;5
80;11;C;5
89;11;C;5
105;11;C;5
111;11;C;5
115;11;C;5
7;12;C;5
8;12;1;5
21;12;C;5
25;12;C;5
39;12;1;5
47;12;C;5
51;12;C;5
56;12;C;5
63;12;1;5
72;12;1;5
73;12;C;5
95;12;C;5
116;12;C;5
119;12;C;5
123;12;C;5
126;12;C;5
9;13;C;5
42;13;1;5
54;13;C;5
62;13;C;5
94;13;C;5
105;13;2;2
15;14;2;2
19;14;C;5
36;14;1;5
40;14;1;5
95;14;3;1
99;14;1;5
104;14;2;2
114;14;C;5
120;14;2;2
5;15;C;5
9;15;3;1
14;15;2;2
16;15;C;5
28;15;C;5
38;15;C;5
47;15;3;1
50;15;C;5
52;15;C;5
67;15;1;5
73;15;3;1
76;15;C;5
92;15;C;5
98;15;C;5
105;15;2;2
106;15;C;5
117;15;C;5
122;15;2;2
5;16;C;5
15;16;C;5
28;16;C;5
38;16;C;5
50;16;C;5
52;16;C;5
76;16;C;5
92;16;C;5
98;16;C;5
106;16;C;5
117;16;C;5
3;17;C;5
5;17;2;2
11;17;C;5
23;17;C;5
24;17;C;5
35;17;2;2
36;17;C;5
39;17;C;5
48;17;C1;10
80;17;C;5
85;17;3;1
89;17;C3;6
105;17;C;5
111;17;C;5
115;17;C;5
124;17;12;7
2;18;C;5
6;18;C;5
43;18;2;2
55;18;C;5
79;18;1;5
91;18;C;5
100;18;C;5
8;19;1;5
14;19;C;5
65;19;12;7
114;19;C;5
7;21;C;5
12;21;C;5
24;21;1;5
25;21;C;5
42;21;1;5
47;21;C;5
51;21;C;5
56;21;C;5
73;21;C;5
95;21;C1;10
116;21;C;5
119;21;C;5
123;21;C;5
126;21;C;5
3;23;C;5
11;23;C;5
17;23;C;5
24;23;C;5
36;23;C;5
39;23;C;5
40;23;1;5
41;23;2;2
48;23;C;5
58;23;1;5
80;23;C;5
89;23;C;5
104;23;1;5
