Id;Label;Attribute
1;"Novak Djokovic";1
2;"Diego Sebastian Schwartzman";1
3;"Paul Henri Mathieu";1
4;"Gilles Muller";1
5;"Sam Querrey";1
6;"Maximo Gonzalez";1
7;"Guillermo Garcia Lopez";1
8;"Yen Hsun Lu";1
9;"Philipp Kohlschreiber";1
10;"Facundo Bagnis";1
11;"Michael Llodra";1
12;"Daniel Gimeno Traver";1
13;"Jan Lennard Struff";1
14;"Mikhail Kukushkin";1
15;"John Isner";1
16;"Marcos Giron";1
17;"Jo Wilfried Tsonga";1
18;"Juan Monaco";1
19;"Aleksandr Nedovyesov";1
20;"James Mcgee";1
21;"Pablo Carreno Busta";1
22;"Andreas Beck";1
23;"Benoit Paire";1
24;"Julien Benneteau";1
25;"Fernando Verdasco";1
26;"Blaz Rola";1
27;"Andrey Kuznetsov";1
28;"Bradley Klahn";1
29;"Matthias Bachinger";1
30;"Radek Stepanek";1
31;"Andy Murray";1
32;"Robin Haase";1
33;"Stanislas Wawrinka";1
34;"Jiri Vesely";1
35;"Thomaz Bellucci";1
36;"Nicolas Mahut";1
37;"Blaz Kavcic";1
38;"Donald Young";1
39;"Jeremy Chardy";1
40;"Alejandro Falla";1
41;"Nick Kyrgios";1
42;"Mikhail Youzhny";1
43;"Andreas Seppi";1
44;"Sergiy Stakhovsky";1
45;"Simone Bolelli";1
46;"Vasek Pospisil";1
47;"Tommy Robredo";1
48;"Edouard Roger Vasselin";1
49;"Kei Nishikori";1
50;"Wayne Odesnik";1
51;"Pablo Andujar";1
52;"Jack Sock";1
53;"Matthew Ebden";1
54;"Tobias Kamke";1
55;"Leonardo Mayer";1
56;"Albert Montanes";1
57;"Borna Coric";1
58;"Lukas Rosol";1
59;"Victor Estrella";1
60;"Igor Sijsling";1
61;"Peter Gojowczyk";1
62;"Benjamin Becker";1
63;"Milos Raonic";1
64;"Taro Daniel";1
65;"Tomas Berdych";1
66;"Lleyton Hewitt";1
67;"Martin Klizan";1
68;"Steve Darcis";1
69;"Alexander Kudryavtsev";1
70;"Evgeny Donskoy";1
71;"Teymuraz Gabashvili";1
72;"Santiago Giraldo";1
73;"Feliciano Lopez";1
74;"Ivan Dodig";1
75;"Tatsuma Ito";1
76;"Steve Johnson";1
77;"Dominic Thiem";1
78;"Lukas Lacko";1
79;"Ernests Gulbis";1
80;"Kenny De Schepper";1
81;"Marin Cilic";1
82;"Marcos Baghdatis";1
83;"Illya Marchenko";1
84;"Marco Chiudinelli";1
85;"Jerzy Janowicz";1
86;"Dusan Lajovic";1
87;"Kevin Anderson";1
88;"Pablo Cuevas";1
89;"Gilles Simon";1
90;"Radu Albot";1
91;"Federico Delbonis";1
92;"Noah Rubin";1
93;"Bernard Tomic";1
94;"Dustin Brown";1
95;"David Ferrer";1
96;"Damir Dzumhur";1
97;"Grigor Dimitrov";1
98;"Ryan Harrison";1
99;"Dudi Sela";1
100;"Carlos Berlocq";1
101;"David Goffin";1
102;"Niels Desein";1
103;"Joao Sousa";1
104;"Frank Dancevic";1
105;"Gael Monfils";1
106;"Jared Donaldson";1
107;"Alejandro Gonzalez";1
108;"Dmitry Tursunov";1
109;"Paolo Lorenzi";1
110;"Yoshihito Nishioka";1
111;"Richard Gasquet";1
112;"Denis Istomin";1
113;"Fabio Fognini";1
114;"Andrey Golubev";1
115;"Adrian Mannarino";1
116;"Pere Riba";1
117;"Tim Smyczek";1
118;"Filip Krajinovic";1
119;"Roberto Bautista Agut";1
120;"Andreas Haider Maurer";1
121;"Ivo Karlovic";1
122;"Jarkko Nieminen";1
123;"Marcel Granollers";1
124;"Jurgen Melzer";1
125;"Samuel Groth";1
126;"Albert Ramos";1
127;"Roger Federer";1
128;"Marinko Matosevic";1
