Source;Target;Label;Weight
2;1;C;5
3;1;C;5
4;1;1;5
5;1;C;5
10;1;C;5
13;1;C;5
15;1;L;0.5
19;1;C;5
21;1;C;5
32;1;C;5
39;1;C;5
45;1;C;5
46;1;2;2
49;1;C;5
56;1;C;5
60;1;3;1
73;1;C;5
85;1;3;1
87;1;3;1
101;1;C;5
119;1;C;5
122;1;2;2
128;1;C;5
1;2;C;5
3;2;C1;10
5;2;C;5
10;2;C;5
13;2;C;5
15;2;3;1
19;2;C;5
21;2;C;5
32;2;C;5
36;2;1;5
39;2;C;5
45;2;C;5
49;2;C;5
56;2;C;5
73;2;C;5
87;2;2;2
101;2;C;5
119;2;C;5
128;2;C;5
1;3;C;5
2;3;C1;10
5;3;C;5
10;3;C;5
11;3;1;5
13;3;C;5
15;3;1;5
19;3;C;5
21;3;C;5
30;3;1;5
32;3;C;5
39;3;C;5
45;3;C;5
49;3;C;5
56;3;C;5
73;3;C;5
101;3;C;5
119;3;C;5
128;3;C;5
1;4;1;5
16;4;1;5
17;4;C;5
31;4;1;5
50;4;1;5
78;4;C;5
89;4;C;5
113;4;C;5
116;4;C;5
1;5;C;5
2;5;C;5
3;5;C;5
10;5;C;5
13;5;C;5
19;5;C;5
21;5;C;5
22;5;2;2
32;5;C;5
35;5;1;5
39;5;C;5
45;5;C;5
49;5;C;5
56;5;C;5
65;5;2;2
73;5;C;5
77;5;1;5
99;5;1;5
101;5;C;5
119;5;C;5
127;5;2;2
128;5;C;5
50;6;2;2
59;6;1;5
70;6;C;5
76;6;1;5
114;6;C;5
8;7;1;5
12;7;3;1
17;7;3;1
18;7;C;5
32;7;2;2
33;7;2;2
65;7;C;5
74;7;C;5
75;7;1;5
78;7;1;5
86;7;1;5
103;7;C2;7
105;7;C;5
7;8;1;5
15;8;1;5
93;8;C;5
94;8;C;5
95;8;1;5
16;9;C;5
25;9;C;5
30;9;2;2
31;9;3;1
36;9;1;5
40;9;C;5
50;9;3;1
70;9;1;5
77;9;2;2
107;9;1;5
1;10;C;5
2;10;C;5
3;10;C;5
5;10;C;5
13;10;C;5
15;10;1;5
17;10;2;2
18;10;2;2
19;10;C;5
21;10;C;5
32;10;C;5
39;10;C;5
45;10;C;5
49;10;C;5
56;10;C;5
60;10;1;5
63;10;3;1
73;10;C;5
93;10;3;1
101;10;C;5
119;10;C;5
128;10;C;5
3;11;1;5
59;11;1;5
60;11;2;2
65;11;3;1
79;11;1;5
110;11;2;2
122;11;1;5
7;12;3;1
22;12;C;5
29;12;1;5
34;12;C;5
60;12;2;2
76;12;C;5
87;12;C;5
88;12;C;5
89;12;1;5
1;13;C;5
2;13;C;5
3;13;C;5
5;13;C;5
10;13;C;5
15;13;2;2
19;13;C;5
21;13;C;5
32;13;C;5
39;13;C;5
45;13;C;5
49;13;C;5
55;13;2;2
56;13;C;5
73;13;C;5
101;13;C;5
108;13;2;2
119;13;C;5
122;13;1;5
128;13;C;5
89;14;1;5
102;14;1;5
127;14;2;2
1;15;L;0.5
2;15;3;1
3;15;1;5
8;15;1;5
10;15;1;5
13;15;2;2
50;15;3;1
51;15;2;2
63;15;L;0.5
92;15;C;5
94;15;3;1
117;15;2;2
122;15;C;5
126;15;C;5
4;16;1;5
9;16;C;5
25;16;C1;10
40;16;C;5
43;16;2;2
62;16;1;5
73;16;2;2
87;16;2;2
95;16;3;1
4;17;C;5
7;17;3;1
10;17;2;2
21;17;1;5
26;17;1;5
42;17;3;1
47;17;L;0.5
75;17;2;2
78;17;C;5
89;17;CL;5.5
107;17;2;2
113;17;C2;7
116;17;C;5
125;17;1;5
7;18;C;5
10;18;2;2
45;18;1;5
63;18;2;2
65;18;C;5
74;18;C;5
81;18;1;5
103;18;C;5
105;18;C;5
113;18;1;5
1;19;C;5
2;19;C;5
3;19;C;5
5;19;C;5
10;19;C;5
13;19;C;5
21;19;C;5
22;19;1;5
32;19;C;5
39;19;C;5
45;19;C;5
49;19;C;5
55;19;1;5
56;19;C;5
73;19;C;5
101;19;C;5
119;19;C;5
128;19;C;5
1;21;C;5
2;21;C;5
3;21;C;5
5;21;C;5
10;21;C;5
13;21;C;5
17;21;1;5
19;21;C;5
32;21;C;5
39;21;C;5
45;21;C;5
49;21;C;5
56;21;C;5
73;21;C;5
101;21;C;5
119;21;C;5
128;21;C;5
5;22;2;2
12;22;C;5
19;22;1;5
31;22;1;5
34;22;C;5
55;22;3;1
76;22;C;5
87;22;C;5
88;22;C;5
113;22;1;5
24;23;1;5
32;23;1;5
42;23;C;5
43;23;C;5
55;23;C;5
76;23;1;5
95;23;3;2
97;23;C;5
98;23;C;5
118;23;2;2
120;23;1;5
23;24;1;5
61;24;2;2
127;24;1;5
9;25;C;5
16;25;C1;10
40;25;C;5
81;25;2;2
94;25;3;1
95;25;2;2
114;25;2;2
17;26;1;5
30;26;C;5
39;26;1;5
43;26;1;5
60;26;2;2
112;26;1;5
12;29;1;5
33;29;C;5
35;29;C;5
36;29;C;5
57;29;C;5
63;29;1;5
78;29;1;5
81;29;C;5
85;29;2;2
95;29;2;2
100;29;C;5
103;29;2;2
108;29;C;5
3;30;1;5
9;30;2;2
26;30;C;5
46;30;1;5
47;30;3;1
80;30;2;2
88;30;1;5
93;30;1;5
4;31;1;5
9;31;3;1
22;31;1;5
45;31;3;1
54;31;2;2
63;31;L;0.5
74;31;2;2
79;31;C;5
80;31;C;5
81;31;3;1
94;31;2;2
99;31;2;2
103;31;3;1
118;31;1;5
1;32;C;5
2;32;C;5
3;32;C;5
5;32;C;5
7;32;2;2
10;32;C;5
13;32;C;5
19;32;C;5
21;32;C;5
23;32;1;5
33;32;3;1
34;32;2;2
39;32;C;5
43;32;1;5
45;32;C;5
49;32;C;5
56;32;C;5
65;32;3;1
70;32;2;2
73;32;C;5
77;32;1;5
97;32;3;1
101;32;C;5
116;32;2;2
119;32;C;5
128;32;C;5
7;33;2;2
29;33;C;5
32;33;3;1
35;33;C;5
36;33;C;5
41;33;2;2
42;33;3;1
48;33;1;5
51;33;1;5
57;33;CL;5.5
80;33;2;2
81;33;CL;5.5
100;33;C;5
108;33;C;5
119;33;3;1
