Id;Label;Attribute
1;"Serena Williams";1
2;"Taylor Townsend";1
3;"Vania King";1
4;"Francesca Schiavone";1
5;"Varvara Lepchenko";1
6;"Alison Van Uytvanck";1
7;"Mona Barthel";1
8;"Shuai Zhang";1
9;"Samantha Stosur";1
10;"Lauren Davis";1
11;"Kaia Kanepi";1
12;"Pauline Parmentier";1
13;"Coco Vandeweghe";1
14;"Donna Vekic";1
15;"Carla Suarez Navarro";1
16;"Ajla Tomljanovic";1
17;"Flavia Pennetta";1
18;"Julia Goerges";1
19;"Shelby Rogers";1
20;"Maryna Zanevska";1
21;"Nicole Gibbs";1
22;"Caroline Garcia";1
23;"Anastasia Pavlyuchenkova";1
24;"Teliana Pereira";1
25;"Casey Dellacqua";1
26;"Patricia Mayr Achleitner";1
27;"Qiang Wang";1
28;"Paula Kania";1
29;"Karolina Pliskova";1
30;"Yvonne Meusburger";1
31;"Ana Ivanovic";1
32;"Alison Riske";1
33;"Petra Kvitova";1
34;"Kristina Mladenovic";1
35;"Petra Cetkovska";1
36;"Klara Koukalova";1
37;"Aleksandra Krunic";1
38;"Katarzyna Piter";1
39;"Madison Keys";1
40;"Jarmila Gajdosova";1
41;"Marina Erakovic";1
42;"Svetlana Kuznetsova";1
43;"Elena Vesnina";1
44;"Yung Jan Chan";1
45;"Christina Mchale";1
46;"Chanelle Scheepers";1
47;"Victoria Azarenka";1
48;"Misaki Doi";1
49;"Catherine Cartan Bellis";1
50;"Dominika Cibulkova";1
51;"Zarina Diyas";1
52;"Lesia Tsurenko";1
53;"Polona Hercog";1
54;"Elina Svitolina";1
55;"Ekaterina Makarova";1
56;"Grace Min";1
57;"Barbora Zahlavova Strycova";1
58;"Ashleigh Barty";1
59;"Monica Niculescu";1
60;"Yaroslava Shvedova";1
61;"Sorana Cirstea";1
62;"Heather Watson";1
63;"Eugenie Bouchard";1
64;"Olga Govortsova";1
65;"Angelique Kerber";1
66;"Ksenia Pervak";1
67;"Alla Kudryavtseva";1
68;"Ying Ying Duan";1
69;"Belinda Bencic";1
70;"Yanina Wickmayer";1
71;"Kurumi Nara";1
72;"Aleksandra Wozniak";1
73;"Sloane Stephens";1
74;"Annika Beck";1
75;"Johanna Larsson";1
76;"Virginie Razzano";1
77;"Tsvetana Pironkova";1
78;"Karin Knapp";1
79;"Jelena Jankovic";1
80;"Bojana Jovanovski";1
81;"Lucie Safarova";1
82;"Timea Babos";1
83;"Saisai Zheng";1
84;"Stefanie Voegele";1
85;"Daniela Hantuchova";1
86;"Romina Oprandi";1
87;"Alize Cornet";1
88;"Amandine Hesse";1
89;"Roberta Vinci";1
90;"Paula Ormaechea";1
91;"Irina Camelia Begu";1
92;"Silvia Soler Espinosa";1
93;"Shuai Peng";1
94;"Jie Zheng";1
95;"Agnieszka Radwanska";1
96;"Sharon Fichman";1
97;"Maria Sharapova";1
98;"Maria Kirilenko";1
99;"Alexandra Dulgheru";1
100;"Kristyna Pliskova";1
101;"Madison Brengle";1
102;"Julia Glushko";1
103;"Sabine Lisicki";1
104;"Francoise Abanda";1
105;"Andrea Petkovic";1
106;"Ons Jabeur";1
107;"Monica Puig";1
108;"Tereza Smitkova";1
109;"Aliaksandra Sasnovich";1
110;"Anna Karolina Schmiedlova";1
111;"Caroline Wozniacki";1
112;"Magdalena Rybarikova";1
113;"Sara Errani";1
114;"Kirsten Flipkens";1
115;"Anastasia Rodionova";1
116;"Camila Giorgi";1
117;"Timea Bacsinszky";1
118;"Kiki Bertens";1
119;"Venus Williams";1
120;"Kimiko Date";1
121;"Mirjana Lucic";1
122;"Garbine Muguruza";1
123;"Shahar Peer";1
124;"Johanna Konta";1
125;"Jana Cepelova";1
126;"Maria Teresa Torro Flor";1
127;"Simona Halep";1
128;"Danielle Rose Collins";1
