Source;Target;Label;Weight
4;1;C;5
16;1;3;1
25;1;C;5
47;1;L;0.5
50;1;1;5
58;1;C;5
59;1;C;5
61;1;3;1
71;1;C;5
72;1;2;2
81;1;2;2
83;1;C;5
88;1;3;1
103;1;C;5
106;1;C;5
109;1;C;5
126;1;C;5
127;1;L;0.5
22;2;1;5
49;2;1;5
60;2;1;5
101;2;1;5
13;3;1;5
42;3;1;5
113;3;2;2
125;3;1;5
1;4;C;5
25;4;C;5
49;4;3;1
58;4;C;5
59;4;C;5
71;4;C;5
74;4;1;5
83;4;C;5
86;4;2;2
103;4;C;5
106;4;C;5
109;4;C;5
113;4;2;2
121;4;1;5
126;4;C;5
41;5;1;5
53;5;C;5
57;5;C;5
62;5;C;5
73;5;C;5
83;5;1;5
97;5;C;5
98;5;C;5
106;5;3;1
113;5;2;2
123;5;C;5
16;6;1;5
49;6;C;5
64;6;C;5
67;6;C;5
12;7;C;5
20;7;2;2
27;7;2;2
31;7;3;1
46;7;C;5
58;7;2;2
65;7;3;1
70;7;2;2
75;7;1;5
81;7;C;5
111;7;3;1
126;7;1;5
16;8;C;5
38;8;C;5
51;8;1;5
63;8;2;2
72;8;23;3
79;8;C;5
92;8;1;5
103;8;2;2
112;8;C;5
116;8;1;5
120;8;1;5
17;9;C;5
33;9;L;0.5
36;9;C;5
38;9;1;5
46;9;3;1
52;9;C;5
55;9;C;5
67;9;1;5
74;9;C;5
82;9;L;0.5
85;9;1;5
92;9;2;2
99;9;C;5
102;9;C;5
106;9;2;2
17;10;1;5
18;10;C;5
33;10;1;5
95;10;C;5
18;11;1;5
28;11;C;5
33;11;C;5
40;11;C;5
78;11;C;5
104;11;1;5
7;12;C;5
15;12;2;2
26;12;1;5
46;12;C;5
49;12;1;5
77;12;1;5
79;12;1;5
81;12;C;5
3;13;1;5
21;13;C;5
47;13;C;5
60;13;2;2
72;13;C;5
84;13;1;5
85;13;1;5
95;13;1;5
104;13;C;5
119;13;2;2
33;14;1;5
65;14;C;5
95;14;2;2
127;14;1;5
12;15;2;2
17;15;2;2
30;15;C;5
31;15;L;0.5
47;15;3L;1.5
49;15;2L;2.5
53;15;1;5
68;15;3;1
74;15;2;2
109;15;3;1
114;15;1;5
127;15;L;0.5
1;16;3;1
6;16;1;5
8;16;C;5
17;16;3;1
19;16;1;5
38;16;C;5
53;16;2;2
56;16;3;1
57;16;1;5
65;16;L;0.5
79;16;C;5
112;16;C;5
9;17;C;5
10;17;1;5
15;17;2;2
16;17;3;1
25;17;3;1
36;17;C;5
52;17;C;5
55;17;C;5
63;17;23;3
74;17;C;5
83;17;2;2
91;17;1;5
99;17;C;5
102;17;C;5
10;18;C;5
11;18;1;5
25;18;2;2
38;18;1;5
95;18;C;5
106;18;2;2
16;19;1;5
32;19;C;5
33;19;12;7
44;19;C;5
59;19;1;5
108;19;C;5
115;19;C;5
123;19;1;5
7;20;2;2
50;20;1;5
67;20;1;5
91;20;C;5
93;20;C1;10
95;20;3;1
106;20;2;2
120;20;C;5
121;20;2;2
13;21;C;5
47;21;C1;10
72;21;C;5
93;21;1;5
104;21;C;5
113;21;1;5
2;22;1;5
41;22;C;5
52;22;1;5
53;22;2;2
66;22;C;5
84;22;3;1
86;22;1;5
56;23;2;2
67;23;2;2
77;23;C;5
93;23;2;2
97;23;L;0.5
103;23;1;5
119;23;C;5
1;25;C;5
4;25;C;5
17;25;3;1
18;25;2;2
46;25;2;2
58;25;C;5
59;25;C;5
63;25;3;1
66;25;1;5
71;25;C;5
83;25;C;5
84;25;1;5
97;25;3;1
99;25;2;2
100;25;1;5
103;25;C;5
106;25;C;5
109;25;C;5
119;25;2;2
121;25;1;5
126;25;C;5
12;26;1;5
31;26;C;5
34;26;1;5
43;26;C;5
84;26;1;5
87;26;C;5
88;26;1;5
90;26;C;5
95;26;3;2
105;26;C;5
110;26;C;5
121;26;C;5
7;27;2;2
32;27;1;5
40;27;2;2
42;27;C;5
50;27;C;5
54;27;C;5
67;27;1;5
70;27;2;2
82;27;C;5
90;27;2;2
111;27;C;5
112;27;1;5
113;27;3;1
11;28;C;5
33;28;C;5
40;28;C;5
78;28;C;5
88;28;2;2
101;28;1;5
111;28;1;5
15;30;C;5
40;30;1;5
64;30;1;5
7;31;3;1
15;31;L;0.5
26;31;C;5
43;31;C;5
46;31;1;5
54;31;2;2
72;31;L;0.5
76;31;3;1
84;31;2;2
87;31;C;5
90;31;C;5
105;31;C;5
110;31;C;5
121;31;C;5
19;32;C;5
27;32;1;5
44;32;C;5
108;32;C;5
115;32;C;5
9;33;L;0.5
10;33;1;5
11;33;C;5
14;33;1;5
19;33;12;7
