Id;Label;Attribute
1;"Serena Williams";1
2;"Anna Tatishvili";1
3;"Chanelle Scheepers";1
4;"Christina Mchale";1
5;"Petra Cetkovska";1
6;"Jovana Jaksic";1
7;"Alize Cornet";1
8;"Anna Karolina Schmiedlova";1
9;"Andrea Petkovic";1
10;"Katarzyna Piter";1
11;"Irina Camelia Begu";1
12;"Virginie Razzano";1
13;"Silvia Soler Espinosa";1
14;"Olga Govortsova";1
15;"Eugenie Bouchard";1
16;"Daniela Hantuchova";1
17;"Angelique Kerber";1
18;"Urszula Radwanska";1
19;"Heather Watson";1
20;"Ajla Tomljanovic";1
21;"Lourdes Dominguez Lino";1
22;"Petra Martic";1
23;"Kirsten Flipkens";1
24;"Tamira Paszek";1
25;"Alison Riske";1
26;"Anastasia Pavlyuchenkova";1
27;"Camila Giorgi";1
28;"Alexandra Cadantu";1
29;"Timea Bacsinszky";1
30;"Sharon Fichman";1
31;"Maria Sharapova";1
32;"Samantha Murray";1
33;"Simona Halep";1
34;"Teliana Pereira";1
35;"Lesia Tsurenko";1
36;"Dinah Pfizenmaier";1
37;"Belinda Bencic";1
38;"Magdalena Rybarikova";1
39;"Victoria Duval";1
40;"Sorana Cirstea";1
41;"Donna Vekic";1
42;"Roberta Vinci";1
43;"Vera Zvonareva";1
44;"Tara Moore";1
45;"Zarina Diyas";1
46;"Kristina Mladenovic";1
47;"Carla Suarez Navarro";1
48;"Shuai Zhang";1
49;"Ana Ivanovic";1
50;"Francesca Schiavone";1
51;"Jie Zheng";1
52;"Annika Beck";1
53;"Karolina Pliskova";1
54;"Karin Knapp";1
55;"Sabine Lisicki";1
56;"Julia Glushko";1
57;"Klara Koukalova";1
58;"Taylor Townsend";1
59;"Madison Keys";1
60;"Monica Puig";1
61;"Yaroslava Shvedova";1
62;"Kristyna Pliskova";1
63;"Kaia Kanepi";1
64;"Jelena Jankovic";1
65;"Victoria Azarenka";1
66;"Mirjana Lucic";1
67;"Bojana Jovanovski";1
68;"Johanna Larsson";1
69;"Tereza Smitkova";1
70;"Su Wei Hsieh";1
71;"Coco Vandeweghe";1
72;"Garbine Muguruza";1
73;"Lucie Safarova";1
74;"Julia Goerges";1
75;"Polona Hercog";1
76;"Paula Ormaechea";1
77;"Alison Van Uytvanck";1
78;"Monica Niculescu";1
79;"Dominika Cibulkova";1
80;"Aleksandra Wozniak";1
81;"Caroline Garcia";1
82;"Sara Errani";1
83;"Varvara Lepchenko";1
84;"Tsvetana Pironkova";1
85;"Misaki Doi";1
86;"Elina Svitolina";1
87;"Ekaterina Makarova";1
88;"Kimiko Date";1
89;"Michelle Larcher De Brito";1
90;"Svetlana Kuznetsova";1
91;"Jarmila Gajdosova";1
92;"Stefanie Voegele";1
93;"Casey Dellacqua";1
94;"Anett Kontaveit";1
95;"Agnieszka Radwanska";1
96;"Cristina Andreea Mitu";1
97;"Petra Kvitova";1
98;"Andrea Hlavackova";1
99;"Mona Barthel";1
100;"Romina Oprandi";1
101;"Kurumi Nara";1
102;"Anna Lena Friedsam";1
103;"Venus Williams";1
104;"Maria Teresa Torro Flor";1
105;"Maria Kirilenko";1
106;"Sloane Stephens";1
107;"Shuai Peng";1
108;"Johanna Konta";1
109;"Lauren Davis";1
110;"Alisa Kleybanova";1
111;"Flavia Pennetta";1
112;"Jana Cepelova";1
113;"Caroline Wozniacki";1
114;"Shahar Peer";1
115;"Naomi Broady";1
116;"Timea Babos";1
117;"Ana Konjuh";1
118;"Marina Erakovic";1
119;"Yanina Wickmayer";1
120;"Samantha Stosur";1
121;"Elena Vesnina";1
122;"Patricia Mayr Achleitner";1
123;"Barbora Zahlavova Strycova";1
124;"Alla Kudryavtseva";1
125;"Yvonne Meusburger";1
126;"Vania King";1
127;"Na Li";1
128;"Paula Kania";1
