Id;Label;Attribute
1;"Novak Djokovic";1
2;"Aljaz Bedene";1
3;"Andrey Kuznetsov";1
4;"Albert Ramos";1
5;"Go Soeda";1
6;"Elias Ymer";1
7;"Fernando Verdasco";1
8;"James Ward";1
9;"John Isner";1
10;"Jimmy Wang";1
11;"Andreas Haider Maurer";1
12;"Laurent Lokoli";1
13;"Gilles Muller";1
14;"Pablo Carreno Busta";1
15;"Roberto Bautista Agut";1
16;"Dominic Thiem";1
17;"Feliciano Lopez";1
18;"Denis Kudla";1
19;"Adrian Mannarino";1
20;"Blaz Rola";1
21;"Jerzy Janowicz";1
22;"Hiroki Moriya";1
23;"Gael Monfils";1
24;"Lucas Pouille";1
25;"Benjamin Becker";1
26;"Julien Benneteau";1
27;"Lleyton Hewitt";1
28;"Ze Zhang";1
29;"Donald Young";1
30;"Tim Puetz";1
31;"Milos Raonic";1
32;"Illya Marchenko";1
33;"Stanislas Wawrinka";1
34;"Marsel Ilhan";1
35;"Marius Copil";1
36;"Pablo Andujar";1
37;"Jarkko Nieminen";1
38;"Andrey Golubev";1
39;"Matthias Bachinger";1
40;"Pablo Cuevas";1
41;"Paolo Lorenzi";1
42;"Alexandr Dolgopolov";1
43;"Vasek Pospisil";1
44;"Sam Querrey";1
45;"Guillermo Garcia Lopez";1
46;"Peter Gojowczyk";1
47;"Alejandro Gonzalez";1
48;"Fabio Fognini";1
49;"David Ferrer";1
50;"Thomaz Bellucci";1
51;"Sergiy Stakhovsky";1
52;"Dusan Lajovic";1
53;"Marcel Granollers";1
54;"Stephane Robert";1
55;"Gilles Simon";1
56;"Robin Haase";1
57;"Santiago Giraldo";1
58;"Jan Hernych";1
59;"Steve Johnson";1
60;"Kyle Edmund";1
61;"Ivan Dodig";1
62;"Joao Souza";1
63;"Kei Nishikori";1
64;"Nicolas Almagro";1
65;"Tomas Berdych";1
66;"Alejandro Falla";1
67;"Jurgen Melzer";1
68;"Victor Estrella";1
69;"Viktor Troicki";1
70;"Jiri Vesely";1
71;"Leonardo Mayer";1
72;"John Millman";1
73;"Philipp Kohlschreiber";1
74;"Paul Henri Mathieu";1
75;"Bernard Tomic";1
76;"Tobias Kamke";1
77;"Samuel Groth";1
78;"Filip Krajinovic";1
79;"Thanasi Kokkinakis";1
80;"Ernests Gulbis";1
81;"Kevin Anderson";1
82;"Diego Sebastian Schwartzman";1
83;"Ricardas Berankis";1
84;"Igor Sijsling";1
85;"James Duckworth";1
86;"Blaz Kavcic";1
87;"Richard Gasquet";1
88;"Carlos Berlocq";1
89;"Lukas Rosol";1
90;"Kenny De Schepper";1
91;"Dudi Sela";1
92;"Jan Lennard Struff";1
93;"Tim Smyczek";1
94;"Luke Saville";1
95;"Rafael Nadal";1
96;"Mikhail Youzhny";1
97;"Andy Murray";1
98;"Yuki Bhambri";1
99;"Marinko Matosevic";1
100;"Alexander Kudryavtsev";1
101;"Joao Sousa";1
102;"Jordan Thompson";1
103;"Martin Klizan";1
104;"Tatsuma Ito";1
105;"David Goffin";1
106;"Michael Russell";1
107;"Marcos Baghdatis";1
108;"Teymuraz Gabashvili";1
109;"Lukas Lacko";1
110;"Maximo Gonzalez";1
111;"Grigor Dimitrov";1
112;"Dustin Brown";1
113;"Edouard Roger Vasselin";1
114;"Tommy Robredo";1
115;"Malek Jaziri";1
116;"Mikhail Kukushkin";1
117;"Nick Kyrgios";1
118;"Federico Delbonis";1
119;"Ivo Karlovic";1
120;"Ruben Bemelmans";1
121;"Jeremy Chardy";1
122;"Borna Coric";1
123;"Andreas Seppi";1
124;"Denis Istomin";1
125;"Simone Bolelli";1
126;"Juan Monaco";1
127;"Roger Federer";1
128;"Yen Hsun Lu";1
