Id;Label;Attribute
1;"Serena Williams";1
2;"Alison Van Uytvanck";1
3;"Vera Zvonareva";1
4;"Ons Jabeur";1
5;"Nicole Gibbs";1
6;"Olivia Rogowska";1
7;"Elina Svitolina";1
8;"Yulia Putintseva";1
9;"Garbine Muguruza";1
10;"Marina Erakovic";1
11;"Daniela Hantuchova";1
12;"Saisai Zheng";1
13;"Anna Tatishvili";1
14;"Kimiko Date";1
15;"Timea Bacsinszky";1
16;"Jelena Jankovic";1
17;"Dominika Cibulkova";1
18;"Kirsten Flipkens";1
19;"Tsvetana Pironkova";1
20;"Heather Watson";1
21;"Denisa Allertova";1
22;"Romina Oprandi";1
23;"Alize Cornet";1
24;"Shuai Zhang";1
25;"Barbora Zahlavova Strycova";1
26;"Timea Babos";1
27;"Kai Chen Chang";1
28;"Jie Zheng";1
29;"Victoria Azarenka";1
30;"Sloane Stephens";1
31;"Caroline Wozniacki";1
32;"Taylor Townsend";1
33;"Petra Kvitova";1
34;"Richel Hogenkamp";1
35;"Mona Barthel";1
36;"Donna Vekic";1
37;"Madison Keys";1
38;"Lesia Tsurenko";1
39;"Casey Dellacqua";1
40;"Yvonne Meusburger";1
41;"Samantha Stosur";1
42;"Monica Niculescu";1
43;"Coco Vandeweghe";1
44;"Francesca Schiavone";1
45;"Irina Falconi";1
46;"Kaia Kanepi";1
47;"Madison Brengle";1
48;"Andrea Petkovic";1
49;"Camila Giorgi";1
50;"Flavia Pennetta";1
51;"Tereza Smitkova";1
52;"Mirjana Lucic";1
53;"Lauren Davis";1
54;"Aleksandra Krunic";1
55;"Venus Williams";1
56;"Maria Teresa Torro Flor";1
57;"Varvara Lepchenko";1
58;"Vitalia Diatchenko";1
59;"Ajla Tomljanovic";1
60;"Shelby Rogers";1
61;"Johanna Larsson";1
62;"Alla Kudryavtseva";1
63;"Agnieszka Radwanska";1
64;"Kurumi Nara";1
65;"Lucie Hradecka";1
66;"Ana Ivanovic";1
67;"Polona Hercog";1
68;"Qiang Wang";1
69;"Klara Koukalova";1
70;"Storm Sanders";1
71;"Julia Goerges";1
72;"Belinda Bencic";1
73;"Karolina Pliskova";1
74;"Evgeniya Rodina";1
75;"Oceane Dodin";1
76;"Alison Riske";1
77;"Roberta Vinci";1
78;"Bojana Jovanovski";1
79;"Ekaterina Makarova";1
80;"An Sophie Mestach";1
81;"Sara Errani";1
82;"Grace Min";1
83;"Silvia Soler Espinosa";1
84;"Annika Beck";1
85;"Lara Arruabarrena";1
86;"Renata Voracova";1
87;"Yanina Wickmayer";1
88;"Anastasia Pavlyuchenkova";1
89;"Kristina Mladenovic";1
90;"Sabine Lisicki";1
91;"Bethanie Mattek Sands";1
92;"Ying Ying Duan";1
93;"Jarmila Gajdosova";1
94;"Alexandra Dulgheru";1
95;"Simona Halep";1
96;"Karin Knapp";1
97;"Eugenie Bouchard";1
98;"Anna Lena Friedsam";1
99;"Kiki Bertens";1
100;"Daria Gavrilova";1
101;"Stefanie Voegele";1
102;"Pauline Parmentier";1
103;"Caroline Garcia";1
104;"Svetlana Kuznetsova";1
105;"Carina Witthoeft";1
106;"Carla Suarez Navarro";1
107;"Christina Mchale";1
108;"Stephanie Foretz Gacon";1
109;"Katerina Siniakova";1
110;"Elena Vesnina";1
111;"Irina Camelia Begu";1
112;"Angelique Kerber";1
113;"Yaroslava Shvedova";1
114;"Lucie Safarova";1
115;"Monica Puig";1
116;"Arina Rodionova";1
117;"Magdalena Rybarikova";1
118;"Ana Konjuh";1
119;"Shuai Peng";1
120;"Tatjana Maria";1
121;"Zarina Diyas";1
122;"Urszula Radwanska";1
123;"Anna Karolina Schmiedlova";1
124;"Chanelle Scheepers";1
125;"Alexandra Panova";1
126;"Sorana Cirstea";1
127;"Maria Sharapova";1
128;"Petra Martic";1
