Id;Label;Attribute
1;"Serena Williams";1
2;"Andrea Hlavackova";1
3;"Anna Lena Friedsam";1
4;"Alexa Glatch";1
5;"Lucie Hradecka";1
6;"Saisai Zheng";1
7;"Victoria Azarenka";1
8;"Maria Teresa Torro Flor";1
9;"Tsvetana Pironkova";1
10;"Barbora Zahlavova Strycova";1
11;"Denisa Allertova";1
12;"Johanna Konta";1
13;"Heather Watson";1
14;"Mathilde Johansson";1
15;"Sloane Stephens";1
16;"Venus Williams";1
17;"Andrea Petkovic";1
18;"Shelby Rogers";1
19;"Lourdes Dominguez Lino";1
20;"Christina Mchale";1
21;"Carina Witthoeft";1
22;"Katerina Siniakova";1
23;"Sara Errani";1
24;"Alison Riske";1
25;"Sesil Karatantcheva";1
26;"Jelena Jankovic";1
27;"Irina Falconi";1
28;"Manon Arcangioli";1
29;"Julia Goerges";1
30;"Coco Vandeweghe";1
31;"Caroline Wozniacki";1
32;"Karin Knapp";1
33;"Petra Kvitova";1
34;"Marina Erakovic";1
35;"Silvia Soler Espinosa";1
36;"Pauline Parmentier";1
37;"Ana Konjuh";1
38;"Margarita Gasparyan";1
39;"Irina Camelia Begu";1
40;"Bethanie Mattek Sands";1
41;"Timea Bacsinszky";1
42;"Lara Arruabarrena";1
43;"Tereza Smitkova";1
44;"Taylor Townsend";1
45;"Belinda Bencic";1
46;"Daniela Hantuchova";1
47;"Madison Keys";1
48;"Varvara Lepchenko";1
49;"Karolina Pliskova";1
50;"Shuai Zhang";1
51;"Cristina Andreea Mitu";1
52;"Alize Lim";1
53;"Francesca Schiavone";1
54;"Qiang Wang";1
55;"Svetlana Kuznetsova";1
56;"Kiki Bertens";1
57;"Zarina Diyas";1
58;"Dinah Pfizenmaier";1
59;"Alison Van Uytvanck";1
60;"Anna Karolina Schmiedlova";1
61;"Danka Kovinic";1
62;"Klara Koukalova";1
63;"Kristina Mladenovic";1
64;"Eugenie Bouchard";1
65;"Ana Ivanovic";1
66;"Yaroslava Shvedova";1
67;"Misaki Doi";1
68;"Petra Cetkovska";1
69;"Bojana Jovanovski";1
70;"Lesia Tsurenko";1
71;"Donna Vekic";1
72;"Caroline Garcia";1
73;"Polona Hercog";1
74;"Shuai Peng";1
75;"Elena Vesnina";1
76;"Kirsten Flipkens";1
77;"Teliana Pereira";1
78;"Fiona Ferro";1
79;"Ekaterina Makarova";1
80;"Louisa Chirico";1
81;"Annika Beck";1
82;"Agnieszka Radwanska";1
83;"Paula Kania";1
84;"Mona Barthel";1
85;"Yulia Putintseva";1
86;"Aleksandra Krunic";1
87;"Elina Svitolina";1
88;"Yanina Wickmayer";1
89;"Alize Cornet";1
90;"Roberta Vinci";1
91;"Alexandra Dulgheru";1
92;"Nicole Gibbs";1
93;"Mirjana Lucic";1
94;"Lauren Davis";1
95;"Simona Halep";1
96;"Evgeniya Rodina";1
97;"Carla Suarez Navarro";1
98;"Monica Niculescu";1
99;"Virginie Razzano";1
100;"Veronica Cepede Royg";1
101;"Magdalena Rybarikova";1
102;"Olivia Rogowska";1
103;"Flavia Pennetta";1
104;"Magda Linette";1
105;"Garbine Muguruza";1
106;"Petra Martic";1
107;"Camila Giorgi";1
108;"Tatjana Maria";1
109;"Ajla Tomljanovic";1
110;"Casey Dellacqua";1
111;"Angelique Kerber";1
112;"Timea Babos";1
113;"Lucie Safarova";1
114;"Anastasia Pavlyuchenkova";1
115;"Kurumi Nara";1
116;"Oceane Dodin";1
117;"Daria Gavrilova";1
118;"Johanna Larsson";1
119;"Sabine Lisicki";1
120;"Monica Puig";1
121;"Samantha Stosur";1
122;"Madison Brengle";1
123;"Amandine Hesse";1
124;"Jarmila Gajdosova";1
125;"Vitalia Diatchenko";1
126;"Stefanie Voegele";1
127;"Maria Sharapova";1
128;"Kaia Kanepi";1
