Id;Label;Attribute
1;"Novak Djokovic";1
2;"Yen Hsun Lu";1
3;"Steve Darcis";1
4;"Marsel Ilhan";1
5;"Aljaz Bedene";1
6;"Gerald Melzer";1
7;"Pablo Carreno Busta";1
8;"Federico Delbonis";1
9;"Bernard Tomic";1
10;"Brian Baker";1
11;"Borna Coric";1
12;"Taylor Harry Fritz";1
13;"Paul Henri Mathieu";1
14;"Santiago Giraldo";1
15;"Roberto Bautista Agut";1
16;"Dmitry Tursunov";1
17;"David Ferrer";1
18;"Evgeny Donskoy";1
19;"Juan Monaco";1
20;"Denis Istomin";1
21;"Victor Estrella";1
22;"Illya Marchenko";1
23;"Feliciano Lopez";1
24;"Thomas Fabbiano";1
25;"Pablo Cuevas";1
26;"Tobias Kamke";1
27;"Quentin Halys";1
28;"Hyeon Chung";1
29;"Malek Jaziri";1
30;"Florian Mayer";1
31;"Tomas Berdych";1
32;"Vasek Pospisil";1
33;"Rafael Nadal";1
34;"Samuel Groth";1
35;"Facundo Bagnis";1
36;"Kenny De Schepper";1
37;"Nicolas Mahut";1
38;"Ricardas Berankis";1
39;"Marcel Granollers";1
40;"Fabio Fognini";1
41;"Stephane Robert";1
42;"Kevin Anderson";1
43;"Alexander Zverev";1
44;"Pierre Hugues Herbert";1
45;"Guillermo Garcia Lopez";1
46;"Thiemo De Bakker";1
47;"Dominic Thiem";1
48;"Inigo Cervantes Huegun";1
49;"David Goffin";1
50;"Gregoire Barrere";1
51;"Carlos Berlocq";1
52;"Paolo Lorenzi";1
53;"Jiri Vesely";1
54;"Rajeev Ram";1
55;"Nicolas Almagro";1
56;"Philipp Kohlschreiber";1
57;"Joao Sousa";1
58;"Damir Dzumhur";1
59;"Ernests Gulbis";1
60;"Andreas Seppi";1
61;"Marcos Baghdatis";1
62;"Gilles Muller";1
63;"Jo Wilfried Tsonga";1
64;"Jan Lennard Struff";1
65;"Milos Raonic";1
66;"Janko Tipsarevic";1
67;"Adrian Mannarino";1
68;"Mikhail Kukushkin";1
69;"Andrej Martin";1
70;"Daniel Munoz De La Nava";1
71;"Lucas Pouille";1
72;"Julien Benneteau";1
73;"Jack Sock";1
74;"Robin Haase";1
75;"Dustin Brown";1
76;"Dudi Sela";1
77;"Albert Ramos";1
78;"Horacio Zeballos";1
79;"Marco Trungelliti";1
80;"Marin Cilic";1
81;"Gilles Simon";1
82;"Rogerio Dutra Silva";1
83;"Guido Pella";1
84;"Diego Sebastian Schwartzman";1
85;"Dusan Lajovic";1
86;"Denis Kudla";1
87;"Viktor Troicki";1
88;"Grigor Dimitrov";1
89;"Jeremy Chardy";1
90;"Leonardo Mayer";1
91;"Adam Pavlasek";1
92;"Roberto Carballes Baena";1
93;"Taro Daniel";1
94;"Martin Klizan";1
95;"Stanislas Wawrinka";1
96;"Lukas Rosol";1
97;"Kei Nishikori";1
98;"Simone Bolelli";1
99;"Andrey Kuznetsov";1
100;"Benjamin Becker";1
101;"Ivan Dodig";1
102;"Mikhail Youzhny";1
103;"Fernando Verdasco";1
104;"Steve Johnson";1
105;"Nick Kyrgios";1
106;"Marco Cecchinato";1
107;"Igor Sijsling";1
108;"Adrian Ungur";1
109;"Bjorn Fratangelo";1
110;"Sam Querrey";1
111;"Richard Gasquet";1
112;"Thomaz Bellucci";1
113;"John Isner";1
114;"John Millman";1
115;"Kyle Edmund";1
116;"Nikoloz Basilashvili";1
117;"Teymuraz Gabashvili";1
118;"Donald Young";1
119;"Benoit Paire";1
120;"Radu Albot";1
121;"Ivo Karlovic";1
122;"Albert Montanes";1
123;"Jordan Thompson";1
124;"Laslo Djere";1
125;"Mathias Bourgue";1
126;"Jordi Samper Montana";1
127;"Andy Murray";1
128;"Radek Stepanek";1
