Source;Target;Label;Weight
11;1;2;2
31;1;L;0.5
35;1;3;2
58;1;C;5
62;1;2;2
65;1;L;0.5
71;1;C;5
72;1;3;1
82;1;3;1
97;1;L;0.5
106;1;1;5
109;1;C;5
113;1;L;0.5
9;2;1;5
69;2;1;5
9;3;3;1
51;3;C;5
53;3;2;2
65;3;2;2
92;3;1;5
105;3;2;2
115;3;3;1
122;3;C;5
123;3;1;5
128;3;C;5
11;5;1;5
18;5;C;5
31;5;1;5
45;5;C;5
60;5;C;5
75;5;C;5
76;5;C1;10
83;5;C;5
113;5;2;2
121;5;2;2
124;5;C;5
126;5;C;5
9;6;C;5
10;6;C;5
13;6;C;5
16;6;2;2
25;6;C;5
26;6;C;5
36;6;1;5
46;6;C;5
52;6;C;5
61;6;C;5
72;6;C1;10
73;6;C;5
92;6;C;5
94;6;C;5
102;6;C;5
107;6;C;5
111;6;C;5
118;6;C;5
119;6;1;5
9;7;2;2
37;7;C;5
74;7;C;5
78;7;C;5
83;7;1;5
86;7;1;5
89;7;2;2
99;7;C;5
14;8;C;5
22;8;C;5
42;8;1;5
47;8;1;5
84;8;1;5
117;8;2;2
2;9;1;5
3;9;3;1
6;9;C;5
7;9;2;2
10;9;C;5
13;9;C;5
15;9;2;2
17;9;3;1
25;9;C;5
26;9;C;5
46;9;C;5
52;9;C;5
59;9;1;5
61;9;C;5
66;9;1;5
68;9;1;5
72;9;C;5
73;9;C;5
78;9;3;1
92;9;C;5
94;9;C;5
102;9;C;5
107;9;C;5
111;9;C;5
113;9;3;1
118;9;C;5
125;9;2;2
6;10;C;5
9;10;C;5
13;10;C;5
25;10;C;5
26;10;C;5
46;10;C;5
52;10;C;5
61;10;C;5
72;10;C;5
73;10;C;5
92;10;C;5
94;10;C;5
102;10;C;5
107;10;C;5
109;10;1;5
111;10;C;5
118;10;C;5
1;11;2;2
5;11;1;5
59;11;1;5
112;11;C;5
19;12;C;5
38;12;1;5
47;12;1;5
66;12;C;5
81;12;C;5
88;12;C;5
105;12;2;2
6;13;C;5
9;13;C;5
10;13;C;5
25;13;C;5
26;13;C;5
46;13;C;5
52;13;C;5
61;13;C;5
72;13;C;5
73;13;C;5
92;13;C;5
94;13;C;5
102;13;C;5
107;13;C;5
111;13;C;5
118;13;C;5
8;14;C;5
22;14;C;5
31;14;3;1
105;14;2;2
123;14;1;5
125;14;1;5
9;15;2;2
62;15;1;5
87;15;1;5
91;15;C;5
127;15;C;5
6;16;2;2
17;16;C;5
20;16;2;2
28;16;C;5
36;16;C;5
38;16;1;5
39;16;3;1
40;16;C;5
41;16;C;5
49;16;C;5
57;16;C;5
62;16;C;5
81;16;3;1
82;16;1;5
88;16;3;1
101;16;C;5
103;16;C;5
117;16;C;5
121;16;C;5
125;16;2;2
127;16;L;0.5
9;17;3;1
16;17;C;5
28;17;C3;6
29;17;3;1
31;17;L;0.5
36;17;C;5
40;17;C;5
41;17;C;5
49;17;C;5
57;17;C;5
59;17;12;7
62;17;C;5
101;17;C;5
103;17;C;5
108;17;1;5
117;17;C;5
120;17;1;5
121;17;C;5
125;17;2;2
126;17;2;2
127;17;L;0.5
5;18;C;5
45;18;C;5
60;18;C;5
75;18;C;5
76;18;C;5
83;18;C;5
124;18;C;5
126;18;C;5
12;19;C;5
66;19;C;5
81;19;C;5
88;19;C;5
16;20;2;2
25;20;12;7
64;20;1;5
76;20;1;5
39;21;1;5
63;21;C;5
121;21;1;5
8;22;C;5
14;22;C;5
34;23;1;5
36;23;1;5
65;23;3;1
92;23;1;5
95;23;L;0.5
29;24;1;5
38;24;2;2
55;24;1;5
97;24;C;5
101;24;1;5
6;25;C;5
9;25;C;5
10;25;C;5
13;25;C;5
20;25;12;7
26;25;C1;10
39;25;3;1
46;25;C;5
52;25;C;5
61;25;C;5
63;25;3;1
64;25;2;2
72;25;C;5
73;25;C;5
92;25;C;5
94;25;C;5
102;25;C;5
107;25;C;5
111;25;C;5
116;25;1;5
118;25;C;5
128;25;2;2
6;26;C;5
9;26;C;5
10;26;C;5
13;26;C;5
25;26;C1;10
46;26;C;5
52;26;C;5
61;26;C;5
72;26;C;5
73;26;C;5
92;26;C;5
94;26;C;5
95;26;1;5
102;26;C;5
107;26;C;5
111;26;C;5
114;26;1;5
118;26;C;5
64;27;C;5
84;27;C;5
89;27;C;5
90;27;C;5
98;27;C;5
104;27;C;5
108;27;C;5
16;28;C;5
17;28;C3;6
36;28;C;5
40;28;C;5
41;28;C;5
47;28;1;5
49;28;C;5
57;28;C;5
62;28;C;5
87;28;2;2
89;28;1;5
101;28;C;5
103;28;C3;6
104;28;1;5
117;28;C;5
121;28;C;5
17;29;3;1
24;29;1;5
31;29;2;2
66;29;1;5
80;29;C;5
85;29;C2;7
112;29;1;5
110;30;1;5
115;30;C;5
1;31;L;0.5
5;31;1;5
14;31;3;1
17;31;L;0.5
29;31;2;2
39;31;2;2
42;31;3;1
46;31;1;5
47;31;3;1
74;31;2;2
86;31;C;5
105;31;C;5
114;31;C;5
38;32;C;5
44;32;C;5
53;32;1;5
121;32;1;5
39;33;C;5
47;33;C;5
48;33;C;5
53;33;C;5
60;33;2;2
69;33;C;5
76;33;2;2
77;33;3;1
79;33;C;5
96;33;C1;10
113;33;C;5
114;33;1;5
120;33;C;5
125;33;C3;6
23;34;1;5
53;34;2;2
65;34;2;2
88;34;1;5
98;34;1;5
112;34;3;1
126;34;1;5
1;35;3;2
48;35;1;5
63;35;2;2
77;35;C;5
78;35;12;7
93;35;C;5
94;35;2;2
100;35;C;5
123;35;C;5
6;36;1;5
16;36;C;5
17;36;C;5
23;36;1;5
28;36;C;5
40;36;C;5
41;36;C;5
49;36;C3;6
57;36;C;5
62;36;C;5
75;36;1;5
89;36;2;2
92;36;2;2
101;36;C;5
103;36;C;5
117;36;C;5
121;36;C;5
7;37;C;5
50;37;2;2
55;37;1;5
56;37;3;1
61;37;1;5
74;37;C;5
78;37;C;5
97;37;23;3
98;37;1;5
99;37;C;5
117;37;2;2
12;38;1;5
16;38;1;5
24;38;2;2
32;38;C;5
44;38;C;5
72;38;2;2
73;38;2;2
127;38;3;1
16;39;3;1
21;39;1;5
25;39;3;1
31;39;2;2
33;39;C;5
47;39;C;5
48;39;C;5
53;39;C;5
69;39;C;5
79;39;C;5
83;39;1;5
95;39;1L;5.5
96;39;C;5
109;39;2;2
113;39;C;5
114;39;1;5
120;39;C;5
125;39;C;5
16;40;C;5
17;40;C;5
28;40;C;5
36;40;C;5
41;40;C1;10
49;40;C;5
53;40;1;5
57;40;C;5
62;40;C;5
85;40;1;5
97;40;2;2
101;40;C;5
103;40;C;5
117;40;C;5
121;40;C;5
16;41;C;5
17;41;C;5
28;41;C;5
36;41;C;5
40;41;C1;10
49;41;C;5
57;41;C;5
62;41;C;5
63;41;1;5
74;41;1;5
75;41;3;1
101;41;C;5
103;41;C;5
107;41;2;2
117;41;C;5
121;41;C;5
8;42;1;5
31;42;3;1
47;42;2;2
62;42;1;5
106;42;1;5
115;42;1;5
119;42;2;2
95;43;C;5
32;44;C;5
38;44;C;5
5;45;C;5
18;45;C;5
60;45;C;5
69;45;1;5
75;45;C;5
76;45;C;5
77;45;1;5
83;45;C;5
105;45;1;10
121;45;3;1
124;45;C;5
126;45;C;5
6;46;C;5
9;46;C;5
10;46;C;5
13;46;C;5
25;46;C;5
26;46;C;5
31;46;1;5
52;46;C;5
61;46;C;5
72;46;C;5
73;46;C;5
88;46;1;5
92;46;C;5
94;46;C;5
102;46;C;5
107;46;C;5
111;46;C;5
118;46;C;5
8;47;1;5
12;47;1;5
28;47;1;5
31;47;3;1
33;47;C;5
39;47;C;5
42;47;2;2
48;47;C;5
53;47;C;5
58;47;2;2
69;47;C2;7
79;47;C;5
88;47;3;1
96;47;C;5
101;47;2;2
112;47;3;1
113;47;C;5
114;47;3;1
120;47;C;5
125;47;C;5
33;48;C;5
35;48;1;5
39;48;C;5
47;48;C;5
53;48;C;5
65;48;2;2
69;48;C;5
71;48;1;5
79;48;C;5
90;48;2;2
96;48;C;5
97;48;3;1
101;48;1;5
103;48;2;2
113;48;C;5
120;48;C;5
125;48;C;5
16;49;C;5
17;49;C;5
28;49;C;5
36;49;C3;6
40;49;C;5
41;49;C;5
57;49;C;5
62;49;C;5
63;49;L;0.5
85;49;1;5
101;49;C;5
103;49;C2;7
117;49;C1;10
121;49;C;5
37;50;2;2
59;50;1;5
66;50;2;2
77;50;1;5
3;51;C;5
122;51;C;5
128;51;C;5
6;52;C;5
9;52;C;5
10;52;C;5
13;52;C;5
25;52;C;5
26;52;C;5
46;52;C;5
61;52;C;5
72;52;C;5
73;52;C;5
92;52;C;5
94;52;C;5
102;52;C;5
107;52;C;5
111;52;C;5
118;52;C;5
3;53;2;2
32;53;1;5
33;53;C;5
34;53;2;2
39;53;C;5
40;53;1;5
47;53;C;5
48;53;C;5
65;53;2;2
69;53;C;5
79;53;C;5
96;53;C;5
104;53;1;5
112;53;3;1
113;53;C;5
120;53;C;5
125;53;C;5
24;55;1;5
37;55;1;5
56;55;1;5
77;55;2;2
81;55;2;2
37;56;3;1
55;56;1;5
64;56;1;5
79;56;1;5
96;56;2;2
98;56;1;5
16;57;C;5
17;57;C;5
28;57;C;5
36;57;C;5
40;57;C;5
41;57;C;5
49;57;C;5
62;57;C;5
66;57;2;2
78;57;2;2
97;57;1;5
101;57;C;5
103;57;C;5
110;57;1;5
117;57;C;5
121;57;C;5
1;58;C;5
47;58;2;2
64;58;1;5
71;58;C;5
72;58;1;5
94;58;1;5
109;58;C2;7
9;59;1;5
11;59;1;5
17;59;12;7
50;59;1;5
5;60;C;5
18;60;C;5
33;60;2;2
45;60;C;5
75;60;C;5
76;60;C;5
83;60;C;5
98;60;1;5
124;60;C;5
126;60;C;5
6;61;C;5
9;61;C;5
10;61;C;5
13;61;C;5
25;61;C;5
26;61;C;5
37;61;1;5
46;61;C;5
52;61;C;5
72;61;C;5
73;61;C;5
92;61;C1;10
94;61;C;5
102;61;C;5
107;61;C;5
111;61;C;5
118;61;C;5
1;62;2;2
15;62;1;5
16;62;C;5
17;62;C;5
28;62;C;5
36;62;C;5
40;62;C;5
41;62;C;5
42;62;1;5
49;62;C;5
57;62;C;5
63;62;2;2
101;62;C;5
103;62;C;5
117;62;C;5
121;62;C;5
127;62;2;2
21;63;C;5
25;63;3;1
35;63;2;2
41;63;1;5
49;63;L;0.5
62;63;2;2
69;63;1;5
71;63;1;5
72;63;L;0.5
96;63;2;2
109;63;3;1
113;63;3;1
127;63;L;0.5
20;64;1;5
25;64;2;2
27;64;C;5
56;64;1;5
58;64;1;5
81;64;2;2
84;64;C;5
89;64;C;5
90;64;C;5
98;64;C;5
104;64;C;5
108;64;C;5
1;65;L;0.5
3;65;2;2
23;65;3;1
34;65;2;2
48;65;2;2
53;65;2;2
84;65;1;5
89;65;3;1
112;65;3L;1.5
120;65;1;5
9;66;1;5
12;66;C;5
19;66;C;5
29;66;1;5
50;66;2;2
57;66;2;2
76;66;1;5
81;66;C;5
88;66;C3;6
127;66;3;1
80;67;1;5
103;67;1;5
112;67;2;2
115;67;1;5
9;68;1;5
73;68;1;5
84;68;1;5
2;69;1;5
33;69;C;5
39;69;C;5
45;69;1;5
47;69;C2;7
48;69;C;5
53;69;C;5
63;69;1;5
79;69;C;5
81;69;1;5
82;69;2;2
96;69;C;5
113;69;C;5
120;69;C;5
125;69;C;5
1;71;C;5
48;71;1;5
58;71;C;5
63;71;1;5
109;71;C;5
121;71;1;5
1;72;3;1
6;72;C1;10
9;72;C;5
10;72;C;5
13;72;C;5
25;72;C;5
26;72;C;5
38;72;2;2
46;72;C;5
52;72;C;5
58;72;1;5
61;72;C;5
63;72;L;0.5
73;72;C;5
92;72;C;5
94;72;C;5
102;72;C;5
103;72;1;5
107;72;C;5
111;72;C;5
118;72;C;5
128;72;1;5
6;73;C;5
9;73;C;5
10;73;C;5
13;73;C;5
25;73;C;5
26;73;C;5
38;73;2;2
46;73;C;5
52;73;C;5
61;73;C;5
68;73;1;5
72;73;C;5
77;73;1;5
79;73;3;1
82;73;1;5
92;73;C;5
94;73;C;5
96;73;1;5
102;73;C;5
107;73;C;5
111;73;C;5
117;73;2;2
118;73;C;5
119;73;3;1
7;74;C;5
31;74;2;2
37;74;C;5
41;74;1;5
78;74;C;5
79;74;1;5
80;74;1;5
99;74;C;5
120;74;1;5
121;74;2;2
5;75;C;5
18;75;C;5
36;75;1;5
41;75;3;1
45;75;C;5
60;75;C;5
76;75;C;5
83;75;C;5
95;75;2;2
124;75;C;5
126;75;C;5
5;76;C1;10
18;76;C;5
20;76;1;5
33;76;2;2
45;76;C;5
60;76;C;5
66;76;1;5
75;76;C;5
83;76;C;5
124;76;C;5
126;76;C;5
33;77;3;1
35;77;C;5
45;77;1;5
50;77;1;5
55;77;2;2
73;77;1;5
93;77;C;5
100;77;C;5
113;77;2;2
123;77;C;5
125;77;1;5
7;78;C;5
9;78;3;1
35;78;12;7
37;78;C;5
57;78;2;2
74;78;C;5
99;78;C;5
107;78;1;5
33;79;C;5
39;79;C;5
47;79;C;5
48;79;C;5
53;79;C;5
56;79;1;5
69;79;C;5
73;79;3;1
74;79;1;5
96;79;C;5
103;79;2;2
110;79;1;5
113;79;C3;6
117;79;3;1
120;79;C;5
125;79;C;5
126;79;2;2
127;79;L;0.5
29;80;C;5
67;80;1;5
74;80;1;5
85;80;C;5
91;80;2;2
12;81;C;5
16;81;3;1
19;81;C;5
55;81;2;2
64;81;2;2
66;81;C;5
69;81;1;5
88;81;C;5
113;81;3;1
122;81;1;5
127;81;1;5
1;82;3;1
16;82;1;5
69;82;2;2
73;82;1;5
107;82;2;2
5;83;C;5
7;83;1;5
18;83;C;5
39;83;1;5
45;83;C;5
