Id;Label;Attribute
1;"Novak Djokovic";1
2;"Jerzy Janowicz";1
3;"Jiri Vesely";1
4;"Saketh Myneni";1
5;"Guido Pella";1
6;"Bjorn Fratangelo";1
7;"Mikhail Youzhny";1
8;"Martin Klizan";1
9;"John Isner";1
10;"Francis Tiafoe";1
11;"Steve Darcis";1
12;"Jordan Thompson";1
13;"Ernesto Escobedo";1
14;"Lukas Lacko";1
15;"Kyle Edmund";1
16;"Richard Gasquet";1
17;"Jo Wilfried Tsonga";1
18;"Guido Andreozzi";1
19;"James Duckworth";1
20;"Robin Haase";1
21;"Vasek Pospisil";1
22;"Jozef Kovalik";1
23;"Kevin Anderson";1
24;"Yoshihito Nishioka";1
25;"Jack Sock";1
26;"Taylor Harry Fritz";1
27;"Mischa Zverev";1
28;"Pierre Hugues Herbert";1
29;"Sergiy Stakhovsky";1
30;"Gastao Elias";1
31;"Marin Cilic";1
32;"Rogerio Dutra Silva";1
33;"Rafael Nadal";1
34;"Denis Istomin";1
35;"Andreas Seppi";1
36;"Stephane Robert";1
37;"Andrey Kuznetsov";1
38;"Thomaz Bellucci";1
39;"Albert Ramos";1
40;"Julien Benneteau";1
41;"Lucas Pouille";1
42;"Mikhail Kukushkin";1
43;"Marco Chiudinelli";1
44;"Guilherme Clezar";1
45;"Federico Delbonis";1
46;"Brian Baker";1
47;"Roberto Bautista Agut";1
48;"Guillermo Garcia Lopez";1
49;"Gael Monfils";1
50;"Gilles Muller";1
51;"Jan Satral";1
52;"Mackenzie Mcdonald";1
53;"Nicolas Almagro";1
54;"Marton Fucsovics";1
55;"Pablo Cuevas";1
56;"Dudi Sela";1
57;"Benoit Paire";1
58;"Dusan Lajovic";1
59;"Marcos Baghdatis";1
60;"Facundo Bagnis";1
61;"Ryan Harrison";1
62;"Adrian Mannarino";1
63;"Milos Raonic";1
64;"Dustin Brown";1
65;"Dominic Thiem";1
66;"John Millman";1
67;"Ricardas Berankis";1
68;"Malek Jaziri";1
69;"Pablo Carreno Busta";1
70;"Ilya Ivashka";1
71;"Janko Tipsarevic";1
72;"Sam Querrey";1
73;"Steve Johnson";1
74;"Evgeny Donskoy";1
75;"Juan Martin Del Potro";1
76;"Diego Sebastian Schwartzman";1
77;"Fabio Fognini";1
78;"Teymuraz Gabashvili";1
79;"David Ferrer";1
80;"Alexandr Dolgopolov";1
81;"Nick Kyrgios";1
82;"Aljaz Bedene";1
83;"Horacio Zeballos";1
84;"Florian Mayer";1
85;"Illya Marchenko";1
86;"Ivan Dodig";1
87;"Damir Dzumhur";1
88;"Bernard Tomic";1
89;"Alexander Zverev";1
90;"Daniel Brands";1
91;"Daniel Evans";1
92;"Rajeev Ram";1
93;"Alessandro Giannessi";1
94;"Denis Kudla";1
95;"Stanislas Wawrinka";1
96;"Fernando Verdasco";1
97;"Kei Nishikori";1
98;"Benjamin Becker";1
99;"Karen Khachanov";1
100;"Thomas Fabbiano";1
101;"Paul Henri Mathieu";1
102;"Christian Harrison";1
103;"Nicolas Mahut";1
104;"Philipp Kohlschreiber";1
105;"Ivo Karlovic";1
106;"Yen Hsun Lu";1
107;"Donald Young";1
108;"Jan Lennard Struff";1
109;"Viktor Troicki";1
110;"Radu Albot";1
111;"Jared Donaldson";1
112;"David Goffin";1
113;"Feliciano Lopez";1
114;"Borna Coric";1
115;"Joao Sousa";1
116;"Victor Estrella";1
117;"Jeremy Chardy";1
118;"Michael Mmoh";1
119;"Grigor Dimitrov";1
120;"Inigo Cervantes Huegun";1
121;"Gilles Simon";1
122;"Radek Stepanek";1
123;"Paolo Lorenzi";1
124;"Carlos Berlocq";1
125;"Marcel Granollers";1
126;"Juan Monaco";1
127;"Andy Murray";1
128;"Lukas Rosol";1
