Source;Target;Label;Weight
10;1;1;5
29;1;3;2
33;1;L;0.5
48;1;C;5
49;1;L;1
63;1;L;0.5
65;1;L;0.5
79;1;L;0.5
87;1;3;1
97;1;L;0.5
98;1;3;1
103;1;C;5
116;1;C;5
119;1;L;0.5
125;1;1;5
4;2;C;5
5;2;1;5
18;2;C;5
35;2;C;5
37;2;C;5
67;2;2;2
102;2;3;1
127;2;C;5
128;2;C;5
9;3;C;5
13;3;C;5
19;3;C;5
31;3;2;2
41;3;C;5
42;3;C2;7
47;3;C;5
61;3;C;5
64;3;1;5
74;3;C;5
83;3;1;5
89;3;C;5
94;3;C;5
97;3;C;5
104;3;C;5
108;3;C;5
111;3;C;5
121;3;C;5
127;3;2;2
2;4;C;5
11;4;1;5
18;4;C;5
35;4;C;5
37;4;C;5
39;4;1;5
105;4;2;2
127;4;C;5
128;4;C;5
2;5;1;5
22;5;C;5
43;5;2;2
52;5;2;2
82;5;1;5
97;5;1;5
127;5;3;1
17;6;C;5
25;6;2;2
59;6;1;5
81;6;1;5
95;6;3;1
12;7;C;5
13;7;1;5
25;7;C;5
33;7;2;2
43;7;C;5
46;7;C1;10
50;7;C;5
68;7;1;5
69;7;C;5
91;7;C;5
96;7;C;5
105;7;C;5
116;7;1;5
120;7;C;5
10;8;2;2
25;8;2;2
26;8;1;5
67;8;C;5
79;8;C;5
95;8;13;6
110;8;1;5
114;8;C;5
3;9;C;5
13;9;C;5
19;9;C;5
41;9;C;5
42;9;C;5
47;9;C;5
61;9;C;5
73;9;1;5
74;9;C;5
81;9;1;5
87;9;2;2
89;9;C;5
94;9;C;5
97;9;C;5
104;9;C;5
108;9;C;5
111;9;C3;6
121;9;C;5
1;10;1;5
8;10;2;2
21;10;1;5
33;10;3;1
38;10;C;5
63;10;1;5
66;10;C;5
73;10;C1;10
77;10;C;5
115;10;C;5
4;11;1;5
17;11;2;2
33;11;1;5
71;11;1;5
87;11;1;5
7;12;C;5
25;12;C;5
29;12;2;2
43;12;C;5
46;12;C;5
50;12;C;5
58;12;1;5
60;12;3;1
69;12;C;5
73;12;2;2
91;12;C;5
96;12;C;5
105;12;C;5
116;12;1;5
120;12;C;5
3;13;C;5
7;13;1;5
9;13;C;5
19;13;C;5
30;13;2;2
36;13;1;5
41;13;C;5
42;13;C2;7
47;13;C;5
61;13;C;5
74;13;C;5
79;13;2;2
89;13;C;5
94;13;C;5
97;13;C;5
99;13;2;2
104;13;C;5
108;13;C;5
111;13;C;5
121;13;C;5
29;14;1;5
64;14;C;5
70;14;C;5
82;14;C;5
87;14;C;5
107;14;C;5
113;14;C;5
123;14;C;5
21;15;C;5
30;15;C;5
32;15;C;5
40;15;1;5
41;15;3;1
43;15;3;1
81;15;C;5
85;15;1;5
88;15;C;5
99;15;C;5
101;15;C;5
109;15;2;2
112;15;C;5
119;15;C3;6
124;15;C;5
127;15;L;0.5
57;16;3;1
58;16;1;5
65;16;1;5
77;16;1;5
88;16;2;2
115;16;1;5
6;17;C;5
11;17;2;2
21;17;3;1
36;17;2;2
51;17;1;5
65;17;3L;1.5
76;17;1;5
81;17;3;1
106;17;3;1
128;17;2;2
2;18;C;5
4;18;C;5
35;18;C;5
37;18;C;5
127;18;C;5
128;18;C;5
3;19;C;5
9;19;C;5
13;19;C;5
41;19;C;5
42;19;C;5
47;19;C;5
61;19;C;5
74;19;C;5
89;19;C;5
94;19;C;5
97;19;C;5
104;19;C;5
108;19;C;5
111;19;C;5
121;19;C;5
29;20;12;7
40;20;C;5
57;20;C;5
72;20;C;5
73;20;1;5
75;20;C;5
91;20;1;5
105;20;3;1
121;20;2;2
126;20;C;5
10;21;1;5
15;21;C;5
17;21;3;1
30;21;C;5
32;21;C;5
47;21;1;5
61;21;1;5
65;21;2;2
67;21;2;2
81;21;C;5
88;21;C;5
99;21;C;5
101;21;C;5
112;21;C;5
119;21;C;5
124;21;C;5
5;22;C;5
47;22;1;5
65;23;2;2
77;23;1;5
87;23;1;5
101;23;1;5
109;23;1;5
65;24;3;1
89;24;1;5
92;24;3;1
94;24;1;5
95;24;L;0.5
120;24;1;5
6;25;2;2
7;25;C;5
8;25;2;2
12;25;C;5
27;25;1;5
43;25;C;5
46;25;C;5
50;25;C;5
64;25;1;5
69;25;C;5
91;25;C;5
96;25;C1;10
100;25;1;5
101;25;3;1
105;25;C;5
115;25;2;2
120;25;C;5
8;26;1;5
29;26;1;5
41;26;1;5
71;26;2;2
98;26;1;5
111;26;3;1
25;27;1;5
68;27;C;5
97;27;2;2
115;27;1;5
127;27;2;2
34;28;C1;10
76;28;C;5
78;28;C;5
92;28;C;5
93;28;C;5
109;28;C;5
113;28;1;5
118;28;C;5
123;28;1;5
1;29;3;2
12;29;2;2
14;29;1;5
20;29;12;7
26;29;1;5
54;29;C;5
56;29;2;2
117;29;C;5
127;29;3;1
13;30;2;2
15;30;C;5
21;30;C;5
32;30;C;5
48;30;1;5
63;30;3;1
65;30;2;2
74;30;1;5
79;30;3;1
81;30;C;5
88;30;C;5
99;30;C;5
101;30;C;5
112;30;C;5
119;30;C;5
124;30;C;5
3;31;2;2
42;31;L;0.5
48;31;1;5
88;31;2;2
89;31;1;5
102;31;C;5
103;31;3;1
113;31;3;1
119;31;3;1
127;31;L;0.5
15;32;C;5
21;32;C;5
30;32;C;5
42;32;1;5
81;32;C2;7
88;32;C;5
98;32;2;2
99;32;C;5
101;32;C;5
112;32;C;5
113;32;1;5
118;32;1;5
119;32;C;5
124;32;C;5
1;33;L;0.5
7;33;2;2
10;33;3;1
11;33;1;5
39;33;2;2
45;33;3;1
47;33;L;0.5
64;33;3;1
79;33;L;0.5
92;33;1;5
95;33;CL;5.5
97;33;L;0.5
127;33;L;0.5
28;34;C1;10
47;34;2;2
49;34;1;5
76;34;C;5
78;34;C;5
92;34;C;5
93;34;C;5
109;34;C;5
118;34;C;5
119;34;2;2
2;35;C;5
4;35;C;5
18;35;C;5
37;35;C;5
127;35;C;5
128;35;C;5
13;36;1;5
17;36;2;2
39;36;1;5
49;36;2;2
71;36;1;5
2;37;C;5
4;37;C;5
18;37;C;5
35;37;C;5
119;37;1;5
127;37;C;5
128;37;C;5
10;38;C;5
66;38;C;5
73;38;C;5
77;38;C;5
87;38;1;5
111;38;1;5
115;38;C;5
4;39;1;5
33;39;2;2
36;39;1;5
51;39;C;5
55;39;2;2
62;39;C;5
64;39;1;5
15;40;1;5
20;40;C;5
47;40;2;2
49;40;2;2
57;40;C;5
72;40;C;5
75;40;C;5
89;40;1;5
112;40;1;5
126;40;C;5
3;41;C;5
9;41;C;5
13;41;C;5
15;41;3;1
19;41;C;5
26;41;1;5
42;41;C;5
47;41;C;5
57;41;2;2
61;41;C;5
74;41;C;5
79;41;1;5
84;41;2;2
89;41;C;5
92;41;1;5
94;41;C;5
95;41;3;1
97;41;C;5
104;41;C;5
108;41;C;5
111;41;C;5
121;41;C;5
3;42;C2;7
9;42;C;5
13;42;C2;7
19;42;C;5
31;42;L;0.5
32;42;1;5
41;42;C;5
47;42;C3;6
61;42;C;5
62;42;1;5
74;42;C;5
89;42;C;5
94;42;C3;6
97;42;C;5
104;42;C;5
108;42;C;5
111;42;C;5
121;42;C;5
5;43;2;2
7;43;C;5
12;43;C;5
15;43;3;1
25;43;C;5
45;43;2;2
46;43;C;5
50;43;C;5
53;43;1;5
69;43;C;5
88;43;1;5
91;43;C;5
96;43;C;5
98;43;1;5
105;43;C;5
117;43;1;5
120;43;C;5
66;44;1;5
79;44;2;2
105;44;1;5
33;45;3;1
43;45;2;2
54;45;1;5
83;45;2;2
97;45;3;1
103;45;1;5
118;45;1;5
7;46;C1;10
12;46;C;5
25;46;C;5
43;46;C;5
50;46;C;5
69;46;C;5
79;46;1;5
91;46;C;5
94;46;1;5
96;46;C;5
97;46;2;2
105;46;C;5
120;46;C;5
3;47;C;5
9;47;C;5
13;47;C;5
19;47;C;5
21;47;1;5
22;47;1;5
33;47;L;0.5
34;47;2;2
40;47;2;2
41;47;C;5
42;47;C3;6
61;47;C;5
74;47;C;5
89;47;C;5
91;47;1;5
94;47;C;5
97;47;C;5
102;47;1;5
103;47;3;1
104;47;C;5
108;47;C;5
111;47;C;5
118;47;3;1
121;47;C;5
1;48;C;5
30;48;1;5
31;48;1;5
99;48;1;5
103;48;C;5
116;48;C;5
1;49;L;1
34;49;1;5
36;49;2;2
40;49;2;2
55;49;C;5
56;49;C;5
80;49;C;5
81;49;3;1
83;49;3;1
101;49;2;2
105;49;3;1
111;49;L;0.5
122;49;C;5
7;50;C;5
12;50;C;5
25;50;C;5
43;50;C;5
46;50;C;5
69;50;C;5
87;50;1;5
91;50;C;5
96;50;C;5
105;50;C;5
120;50;C;5
17;51;1;5
39;51;C;5
56;51;1;5
62;51;C2;7
111;51;3;1
123;51;1;5
5;52;2;2
58;52;1;5
63;52;C;5
74;52;1;5
110;52;C;5
43;53;1;5
84;53;C;5
99;53;1;5
29;54;C;5
45;54;1;5
67;54;1;10
117;54;C;5
39;55;2;2
49;55;C;5
56;55;C;5
67;55;2;2
80;55;C;5
82;55;2;2
111;55;3;1
118;55;1;10
122;55;C;5
124;55;1;5
127;55;3;1
29;56;2;2
49;56;C;5
51;56;1;5
55;56;C;5
80;56;C;5
81;56;3;1
87;56;2;2
96;56;1;5
101;56;1;5
122;56;C;5
16;57;3;1
20;57;C;5
40;57;C;5
41;57;2;2
63;57;2;2
72;57;C;5
75;57;C;5
77;57;1;5
126;57;C;5
12;58;1;5
16;58;1;5
52;58;1;5
79;58;3;1
113;58;2;2
117;58;2;2
6;59;1;5
106;59;1;5
111;59;1;5
117;59;1;5
123;59;2;2
12;60;3;1
63;60;2;2
71;60;2;2
74;60;1;5
91;60;1;5
3;61;C;5
9;61;C;5
13;61;C;5
19;61;C;5
21;61;1;5
41;61;C;5
42;61;C;5
47;61;C;5
74;61;C;5
89;61;C1;10
94;61;C;5
97;61;C;5
104;61;C;5
108;61;C;5
111;61;C;5
121;61;C;5
39;62;C;5
42;62;1;5
51;62;C2;7
100;62;1;5
1;63;L;0.5
10;63;1;5
30;63;3;1
52;63;C;5
57;63;2;2
60;63;2;2
88;63;3;1
110;63;C;5
121;63;1;5
3;64;1;5
14;64;C;5
25;64;1;5
33;64;3;1
39;64;1;5
70;64;C;5
82;64;C;5
87;64;C;5
107;64;C;5
113;64;C;5
123;64;C;5
127;64;2;2
1;65;L;0.5
16;65;1;5
17;65;3L;1.5
21;65;2;2
23;65;2;2
24;65;3;1
30;65;2;2
73;65;3;1
88;65;2;2
92;65;1;5
112;65;1;5
10;66;C;5
38;66;C;5
44;66;1;5
73;66;C;5
77;66;C;5
84;66;1;5
109;66;1;5
115;66;C;5
2;67;2;2
8;67;C;5
21;67;2;2
54;67;1;10
55;67;2;2
79;67;C;5
105;67;3;1
114;67;C;5
120;67;1;5
7;68;1;5
27;68;C;5
113;68;2;2
7;69;C;5
12;69;C;5
25;69;C;5
43;69;C;5
46;69;C;5
50;69;C;5
91;69;C;5
96;69;C;5
105;69;C;5
120;69;C;5
14;70;C;5
64;70;C;5
82;70;C;5
87;70;C;5
97;70;1;5
107;70;C;5
113;70;C;5
123;70;C;5
11;71;1;5
26;71;2;2
36;71;1;5
60;71;2;2
83;71;1;5
86;71;C;5
95;71;1;5
127;71;3;1
20;72;C;5
40;72;C;5
57;72;C;5
75;72;C;5
81;72;1;5
95;72;1;5
126;72;C;5
9;73;1;5
10;73;C1;10
12;73;2;2
20;73;1;5
38;73;C;5
65;73;3;1
66;73;C;5
77;73;C;5
94;73;2;2
115;73;C;5
127;73;1;5
3;74;C;5
9;74;C;5
13;74;C;5
19;74;C;5
30;74;1;5
41;74;C;5
42;74;C;5
47;74;C;5
52;74;1;5
60;74;1;5
61;74;C;5
81;74;2;2
89;74;C;5
94;74;C;5
97;74;C;5
104;74;C;5
108;74;C;5
111;74;C;5
121;74;C;5
20;75;C;5
40;75;C;5
57;75;C;5
72;75;C;5
80;75;1;5
105;75;2;2
121;75;1;5
126;75;C;5
17;76;1;5
28;76;C;5
34;76;C;5
78;76;C;5
92;76;C;5
93;76;C;5
101;76;1;5
109;76;C;5
118;76;C;5
10;77;C;5
16;77;1;5
23;77;1;5
38;77;C;5
57;77;1;5
66;77;C;5
73;77;C;5
100;77;1;5
115;77;C;5
28;78;C;5
34;78;C;5
76;78;C;5
92;78;C;5
93;78;C;5
109;78;C;5
118;78;C;5
1;79;L;0.5
8;79;C;5
13;79;2;2
30;79;3;1
33;79;L;0.5
41;79;1;5
44;79;2;2
46;79;1;5
58;79;3;1
67;79;C;5
102;79;1;5
113;79;3;1
114;79;C;5
49;80;C;5
55;80;C;5
56;80;C;5
75;80;1;5
88;80;2;2
122;80;C;5
6;81;1;5
9;81;1;5
15;81;C;5
17;81;3;1
21;81;C;5
30;81;C;5
32;81;C2;7
49;81;3;1
56;81;3;1
72;81;1;5
74;81;2;2
84;81;1;5
88;81;C;5
99;81;C;5
101;81;C;5
112;81;C;5
116;81;2;2
119;81;C;5
121;81;2;2
124;81;C;5
5;82;1;5
14;82;C;5
55;82;2;2
64;82;C;5
70;82;C;5
87;82;C;5
107;82;C;5
113;82;C;5
123;82;C;5
3;83;1;5
45;83;2;2
49;83;3;1
71;83;1;5
125;83;1;5
127;83;1;5
41;84;2;2
53;84;C;5
66;84;1;5
81;84;1;5
88;84;1;5
110;84;1;5
15;85;1;5
121;85;1;5
71;86;C;5
1;87;3;1
9;87;2;2
11;87;1;5
14;87;C;5
23;87;1;5
38;87;1;5
50;87;1;5
56;87;2;2
64;87;C;5
70;87;C;5
82;87;C;5
97;87;3;1
107;87;C;5
113;87;C;5
123;87;C3;6
15;88;C;5
16;88;2;2
21;88;C;5
30;88;C;5
31;88;2;2
32;88;C;5
43;88;1;5
63;88;3;1
65;88;2;2
80;88;2;2
81;88;C;5
84;88;1;5
95;88;3;1
99;88;C;5
101;88;C;5
112;88;C;5
119;88;C;5
124;88;C;5
3;89;C;5
9;89;C;5
13;89;C;5
19;89;C;5
24;89;1;5
31;89;1;5
40;89;1;5
41;89;C;5
42;89;C;5
47;89;C;5
61;89;C1;10
74;89;C;5
94;89;C;5
97;89;C;5
104;89;C;5
108;89;C;5
111;89;C;5
121;89;C;5
7;91;C;5
12;91;C;5
20;91;1;5
25;91;C;5
43;91;C;5
46;91;C;5
47;91;1;5
50;91;C;5
60;91;1;5
69;91;C;5
96;91;C;5
98;91;2;2
103;91;3;1
105;91;C;5
106;91;1;5
120;91;C;5
24;92;3;1
28;92;C;5
33;92;1;5
34;92;C;5
41;92;1;5
65;92;1;5
76;92;C;5
78;92;C;5
93;92;C;5
99;92;2;2
109;92;C;5
118;92;C;5
28;93;C;5
34;93;C;5
76;93;C;5
78;93;C;5
92;93;C;5
109;93;C;5
118;93;C;5
3;94;C;5
9;94;C;5
13;94;C;5
19;94;C;5
24;94;1;5
41;94;C;5
42;94;C3;6
46;94;1;5
47;94;C;5
61;94;C;5
73;94;2;2
74;94;C;5
89;94;C;5
97;94;C;5
104;94;C;5
108;94;C;5
111;94;C;5
120;94;2;2
121;94;C;5
6;95;3;1
8;95;13;6
24;95;L;0.5
33;95;CL;5.5
41;95;3;1
71;95;1;5
72;95;1;5
88;95;3;1
97;95;L;0.5
100;95;2;2
101;95;1L;5.5
110;95;2;2
114;95;2;2
127;95;L;0.5
7;96;C;5
12;96;C;5
25;96;C1;10
43;96;C;5
46;96;C;5
50;96;C;5
56;96;1;5
69;96;C;5
91;96;C;5
105;96;C;5
120;96;C;5
1;97;L;0.5
3;97;C;5
5;97;1;5
9;97;C;5
13;97;C;5
19;97;C;5
27;97;2;2
33;97;L;0.5
41;97;C;5
42;97;C;5
45;97;3;1
46;97;2;2
47;97;C;5
61;97;C;5
