Id;Label;Attribute
1;"Novak Djokovic";1
2;"James Ward";1
3;"Adrian Mannarino";1
4;"Kyle Edmund";1
5;"Thomaz Bellucci";1
6;"Ruben Bemelmans";1
7;"Sam Querrey";1
8;"Lukas Rosol";1
9;"Pierre Hugues Herbert";1
10;"Philipp Kohlschreiber";1
11;"Damir Dzumhur";1
12;"Denis Kudla";1
13;"Nicolas Mahut";1
14;"Brydan Klein";1
15;"David Ferrer";1
16;"Dudi Sela";1
17;"David Goffin";1
18;"Alexander Ward";1
19;"Edouard Roger Vasselin";1
20;"Teymuraz Gabashvili";1
21;"Nicolas Almagro";1
22;"Rogerio Dutra Silva";1
23;"Denis Istomin";1
24;"Kevin Anderson";1
25;"Jack Sock";1
26;"Ernests Gulbis";1
27;"Robin Haase";1
28;"Diego Sebastian Schwartzman";1
29;"Andreas Seppi";1
30;"Guillermo Garcia Lopez";1
31;"Milos Raonic";1
32;"Pablo Carreno Busta";1
33;"Roger Federer";1
34;"Guido Pella";1
35;"Marcus Willis";1
36;"Ricardas Berankis";1
37;"Daniel Evans";1
38;"Jan Lennard Struff";1
39;"Alexandr Dolgopolov";1
40;"Evgeny Donskoy";1
41;"Jeremy Chardy";1
42;"Gael Monfils";1
43;"Steve Johnson";1
44;"Malek Jaziri";1
45;"Grigor Dimitrov";1
46;"Bjorn Fratangelo";1
47;"Gilles Simon";1
48;"Janko Tipsarevic";1
49;"Marin Cilic";1
50;"Brian Baker";1
51;"Sergiy Stakhovsky";1
52;"Yoshihito Nishioka";1
53;"Lukas Lacko";1
54;"Paolo Lorenzi";1
55;"Ivo Karlovic";1
56;"Borna Coric";1
57;"Andrey Kuznetsov";1
58;"Pablo Cuevas";1
59;"Gilles Muller";1
60;"Santiago Giraldo";1
61;"Julien Benneteau";1
62;"Illya Marchenko";1
63;"Kei Nishikori";1
64;"Samuel Groth";1
65;"Dominic Thiem";1
66;"Florian Mayer";1
67;"Jiri Vesely";1
68;"Igor Sijsling";1
69;"Dennis Novikov";1
70;"Luke Saville";1
71;"Joao Sousa";1
72;"Dmitry Tursunov";1
73;"Alexander Zverev";1
74;"Paul Henri Mathieu";1
75;"Mikhail Youzhny";1
76;"Horacio Zeballos";1
77;"Benjamin Becker";1
78;"Facundo Bagnis";1
79;"Tomas Berdych";1
80;"Ivan Dodig";1
81;"Roberto Bautista Agut";1
82;"Jordan Thompson";1
83;"Mikhail Kukushkin";1
84;"Martin Klizan";1
85;"Radu Albot";1
86;"Gastao Elias";1
87;"Bernard Tomic";1
88;"Fernando Verdasco";1
89;"Lucas Pouille";1
90;"Marius Copil";1
91;"Donald Young";1
92;"Leonardo Mayer";1
93;"Juan Martin Del Potro";1
94;"Stephane Robert";1
95;"Stanislas Wawrinka";1
96;"Taylor Harry Fritz";1
97;"Richard Gasquet";1
98;"Aljaz Bedene";1
99;"Marcel Granollers";1
100;"Victor Estrella";1
101;"Albert Ramos";1
102;"Vasek Pospisil";1
103;"Viktor Troicki";1
104;"Tristan Lamasine";1
105;"John Isner";1
106;"Marcos Baghdatis";1
107;"Matthew Barton";1
108;"Albano Olivetti";1
109;"Juan Monaco";1
110;"Taro Daniel";1
111;"Jo Wilfried Tsonga";1
112;"Inigo Cervantes Huegun";1
113;"Nick Kyrgios";1
114;"Radek Stepanek";1
115;"Dustin Brown";1
116;"Dusan Lajovic";1
117;"Fabio Fognini";1
118;"Federico Delbonis";1
119;"Feliciano Lopez";1
120;"Rajeev Ram";1
121;"Benoit Paire";1
122;"Franco Skugor";1
123;"John Millman";1
124;"Albert Montanes";1
125;"Yen Hsun Lu";1
126;"Alexander Kudryavtsev";1
127;"Andy Murray";1
128;"Liam Broady";1
