Source;Target;Label;Weight
5;1;2;2
6;1;C;5
11;1;C;5
30;1;C;5
32;1;3L;1.5
33;1;2;2
35;1;1;5
39;1;3;1
40;1;2;2
47;1;C;5
49;1;CL;5.5
51;1;C;5
52;1;C;5
59;1;C;5
63;1;L;0.5
66;1;L;0.5
69;1;C;5
72;1;C3;6
73;1;C;5
76;1;C;5
77;1;2;2
83;1;3;1
84;1;C;5
90;1;C;5
94;1;C;5
110;1;C;5
112;1;1;5
114;1;L;0.5
119;1;C;5
120;1;1;5
127;1;L;0.5
23;2;C;5
31;2;1;5
44;2;3;1
52;2;2;2
87;2;1;5
89;2;2;2
91;2;1;5
96;2;C;5
102;2;C;5
35;3;1;5
58;3;1;5
89;3;12;7
14;4;C;5
18;4;C;5
43;4;2;2
58;4;3;1
74;4;C;5
79;4;C;5
81;4;2;2
105;4;1;5
111;4;C;5
121;4;C;5
122;4;C;5
1;5;2;2
34;5;1;5
83;5;1;5
105;5;1;5
1;6;C;5
11;6;C;5
30;6;C;5
47;6;C;5
49;6;C;5
51;6;C;5
52;6;C;5
59;6;C1;10
69;6;C;5
72;6;C;5
73;6;C;5
76;6;C;5
80;6;1;5
84;6;C;5
90;6;C;5
94;6;C;5
110;6;C;5
119;6;C;5
12;7;C;5
16;7;C;5
20;7;C;5
23;7;1;5
32;7;3;1
36;7;C;5
37;7;C;5
46;7;3;1
53;7;C;5
57;7;C;5
61;7;1;5
66;7;L;0.5
80;7;2;2
81;7;1;5
84;7;2;2
92;7;1;5
93;7;C;5
104;7;2;2
125;7;C;5
128;7;2;2
19;8;1;5
31;8;C;5
35;8;C;5
66;8;C;5
81;8;2;2
91;8;1;5
114;8;C1;10
15;9;L;0.5
27;9;2;2
65;9;C;5
67;9;3;1
68;9;C;5
89;9;3;1
91;9;1;5
103;9;2;2
106;9;1;5
126;9;C;5
58;10;C;5
71;10;C;5
92;10;C;5
97;10;C;5
1;11;C;5
6;11;C;5
30;11;C;5
47;11;C;5
49;11;C;5
51;11;C;5
52;11;C;5
59;11;C;5
69;11;C;5
72;11;C;5
73;11;C;5
76;11;C;5
84;11;C;5
90;11;C;5
94;11;C;5
110;11;C;5
119;11;C;5
7;12;C;5
16;12;C;5
20;12;C;5
36;12;C;5
37;12;C;5
53;12;C;5
57;12;C;5
93;12;C;5
105;12;2;2
125;12;C;5
16;13;1;10
53;13;1;5
73;13;2;2
79;13;2;2
98;13;C;5
103;13;C;5
106;13;C;5
111;13;2;2
116;13;1;5
120;13;2;2
4;14;C;5
17;14;1;5
18;14;C1;10
42;14;13;6
66;14;2;2
72;14;1;5
74;14;C;5
79;14;C;5
111;14;C;5
113;14;2;2
118;14;2;2
121;14;C;5
122;14;C;5
9;15;L;0.5
23;15;1;5
29;15;2;2
47;15;3;1
48;15;3;1
56;15;C;5
72;15;2;2
82;15;1;5
106;15;2;2
111;15;L;0.5
128;15;C;5
7;16;C;5
12;16;C;5
13;16;1;10
20;16;C;5
36;16;C;5
37;16;C;5
45;16;2;2
53;16;C;5
56;16;1;5
57;16;C;5
93;16;C;5
125;16;C;5
14;17;1;5
37;17;2;2
58;17;1;5
64;17;C;5
78;17;C;5
88;17;C;5
95;17;C;5
104;17;1;5
109;17;1;5
124;17;C;5
127;17;L;0.5
4;18;C;5
14;18;C1;10
63;18;1;5
74;18;C;5
79;18;C;5
100;18;1;5
111;18;C;5
121;18;C;5
122;18;C;5
127;18;1;5
8;19;1;5
24;19;C;5
40;19;2;2
107;19;C;5
119;19;1;5
121;19;2;2
7;20;C;5
12;20;C;5
16;20;C;5
36;20;C;5
37;20;C;5
53;20;C;5
57;20;C;5
93;20;C;5
125;20;C;5
39;21;2;2
48;21;C;5
53;21;1;5
55;21;1;5
71;21;2;2
101;21;C;5
120;21;1;5
39;22;C;5
75;22;C;5
81;22;C;5
87;22;C;5
89;22;C;5
112;22;C;5
120;22;C;5
2;23;C;5
7;23;1;5
15;23;1;5
61;23;3;1
96;23;C;5
102;23;C1;10
19;24;C;5
42;24;2;2
76;24;1;5
100;24;1;5
107;24;C;5
122;24;1;5
34;25;C;5
40;25;C;5
41;25;C;5
42;25;3;1
45;25;2;2
55;25;C;5
60;25;C;5
62;25;C;5
67;25;C;5
73;25;1;10
75;25;2;2
99;25;3;1
100;25;C;5
114;25;3;1
118;25;C;5
124;25;2;2
125;25;1;5
42;26;C;5
70;26;C;5
75;26;1;5
83;26;C;5
9;27;2;2
49;27;2;2
65;27;1;5
82;27;C;5
99;27;C;5
108;27;C;5
120;27;3;1
61;28;C;5
15;29;2;2
104;29;C;5
1;30;C;5
6;30;C;5
11;30;C;5
47;30;C;5
49;30;C;5
51;30;C;5
52;30;C;5
59;30;C;5
69;30;C;5
72;30;C;5
73;30;C1;10
76;30;C;5
84;30;C;5
89;30;1;5
90;30;C;5
94;30;C;5
110;30;C;5
119;30;C;5
2;31;1;5
8;31;C;5
34;31;2;2
35;31;C;5
66;31;C;5
114;31;C;5
1;32;3L;1.5
7;32;3;1
34;32;3L;1.5
44;32;C;5
50;32;1;5
54;32;2;2
80;32;2;2
86;32;C;5
91;32;2;2
97;32;L;0.5
103;32;3;1
122;32;12;7
1;33;2;2
62;33;1;5
79;33;1;5
81;33;1;5
101;33;1;5
5;34;1;5
25;34;C;5
31;34;2;2
32;34;3L;1.5
40;34;C;5
41;34;C;5
42;34;L;0.5
55;34;C;5
60;34;C;5
62;34;C;5
67;34;C;5
76;34;3;1
87;34;2;2
92;34;12;7
95;34;3;2
100;34;C1;10
106;34;1;5
118;34;C;5
1;35;1;5
3;35;1;5
8;35;C;5
31;35;C;5
55;35;1;5
66;35;C;5
78;35;2;2
95;35;2;2
114;35;C;5
115;35;1;5
118;35;2;2
7;36;C;5
12;36;C;5
16;36;C;5
20;36;C;5
37;36;C;5
53;36;C;5
57;36;C;5
93;36;C;5
125;36;C;5
7;37;C;5
12;37;C;5
16;37;C;5
17;37;2;2
20;37;C;5
36;37;C;5
53;37;C;5
57;37;C;5
93;37;C;5
117;37;1;5
125;37;C;5
85;38;C;5
1;39;3;1
21;39;2;2
22;39;C;5
75;39;C;5
81;39;C;5
87;39;C;5
89;39;C;5
96;39;1;5
112;39;C;5
120;39;C;5
1;40;2;2
19;40;2;2
25;40;C;5
34;40;C;5
41;40;C;5
55;40;C;5
60;40;C;5
62;40;C;5
66;40;3;1
67;40;C;5
100;40;C;5
112;40;1;5
118;40;C;5
124;40;1;5
25;41;C;5
34;41;C;5
40;41;C;5
55;41;C;5
59;41;3;1
60;41;C;5
62;41;C;5
63;41;1;5
67;41;C;5
69;41;1;5
74;41;2;2
96;41;1;5
100;41;C;5
118;41;C;5
14;42;13;6
24;42;2;2
25;42;3;1
26;42;C;5
34;42;L;0.5
49;42;1;5
51;42;1;5
70;42;C;5
83;42;C;5
95;42;2;2
107;42;L;0.5
4;43;2;2
49;43;1;5
58;43;1;5
116;43;1;5
118;43;1;5
127;43;3;1
2;44;3;1
32;44;C;5
53;44;2;2
55;44;1;5
60;44;2;2
71;44;1;5
86;44;C;5
16;45;2;2
25;45;2;2
66;45;3;1
70;45;1;5
7;46;3;1
71;46;1;5
79;46;2;2
105;46;C;5
115;46;1;5
118;46;2;2
122;46;1;5
1;47;C;5
6;47;C;5
11;47;C;5
15;47;3;1
30;47;C;5
49;47;C;5
51;47;C;5
52;47;C;5
55;47;3;1
59;47;C;5
63;47;3;1
69;47;C;5
72;47;C;5
73;47;C;5
76;47;C;5
82;47;2;2
84;47;C;5
90;47;C1;10
94;47;C;5
99;47;1;5
110;47;C;5
119;47;C;5
127;47;3L;1.5
15;48;3;1
21;48;C;5
101;48;C;5
103;48;1;5
125;48;1;5
128;48;2;2
1;49;CL;5.5
6;49;C;5
11;49;C;5
27;49;2;2
30;49;C;5
42;49;1;5
43;49;1;5
47;49;C;5
51;49;C;5
52;49;C;5
59;49;C2;7
69;49;C;5
72;49;C;5
73;49;C;5
76;49;C1;10
84;49;C;5
90;49;C;5
94;49;C;5
110;49;C;5
119;49;C1;10
32;50;1;5
76;50;3;1
87;50;2;2
95;50;1;5
1;51;C;5
6;51;C;5
11;51;C;5
30;51;C;5
42;51;1;5
47;51;C;5
49;51;C;5
52;51;C;5
59;51;C;5
69;51;C;5
72;51;C;5
73;51;C;5
76;51;C;5
84;51;C;5
89;51;1;5
90;51;C;5
94;51;C;5
110;51;C;5
119;51;C;5
1;52;C;5
2;52;2;2
6;52;C;5
11;52;C;5
30;52;C;5
47;52;C;5
49;52;C;5
51;52;C;5
59;52;C;5
69;52;C;5
72;52;C;5
73;52;C;5
76;52;C;5
83;52;1;5
84;52;C;5
87;52;1;5
89;52;2;2
90;52;C;5
94;52;C;5
101;52;1;5
110;52;C;5
119;52;C2;7
123;52;1;5
7;53;C;5
12;53;C;5
13;53;1;5
16;53;C;5
20;53;C;5
21;53;1;5
36;53;C;5
37;53;C;5
44;53;2;2
57;53;C;5
66;53;1;5
92;53;2;2
93;53;C;5
101;53;3;1
107;53;2;2
125;53;C;5
128;53;1;5
32;54;2;2
67;54;1;5
75;54;1;5
90;54;1;5
91;54;C;5
95;54;2;2
101;54;1;5
21;55;1;5
25;55;C;5
34;55;C;5
35;55;1;5
40;55;C;5
41;55;C;5
44;55;1;5
47;55;3;1
60;55;C;5
62;55;C;5
67;55;C;5
89;55;2;2
100;55;C;5
118;55;C;5
128;55;1;5
15;56;C;5
16;56;1;5
62;56;2;2
75;56;1;5
79;56;3;1
123;56;1;5
128;56;C;5
7;57;C;5
12;57;C;5
16;57;C;5
20;57;C;5
36;57;C;5
37;57;C;5
53;57;C;5
64;57;1;5
78;57;1;5
93;57;C;5
125;57;C;5
3;58;1;5
4;58;3;1
10;58;C;5
17;58;1;5
43;58;1;5
71;58;C;5
92;58;C;5
97;58;C;5
1;59;C;5
6;59;C1;10
11;59;C;5
30;59;C;5
41;59;3;1
47;59;C;5
49;59;C2;7
51;59;C;5
52;59;C;5
66;59;2;2
69;59;C;5
72;59;C;5
73;59;C;5
74;59;1;5
76;59;C;5
84;59;C;5
90;59;C;5
94;59;C;5
110;59;C;5
119;59;C;5
25;60;C;5
34;60;C;5
40;60;C;5
41;60;C;5
44;60;2;2
55;60;C;5
62;60;C;5
67;60;C;5
87;60;1;5
90;60;3;1
100;60;C;5
113;60;1;5
118;60;C;5
7;61;1;5
23;61;3;1
28;61;C;5
110;61;1;5
123;61;2;2
127;61;2;2
25;62;C;5
33;62;1;5
34;62;C;5
40;62;C;5
41;62;C;5
55;62;C;5
56;62;2;2
60;62;C;5
67;62;C3;6
79;62;1;5
81;62;1;5
100;62;C;5
118;62;C;5
1;63;L;0.5
18;63;1;5
41;63;1;5
47;63;3;1
64;63;2;2
67;63;2;2
78;63;1;5
95;63;L;0.5
109;63;C;5
118;63;3;1
121;63;1;5
17;64;C;5
57;64;1;5
63;64;2;2
78;64;C;5
79;64;2;2
88;64;C;5
95;64;C;5
124;64;C;5
9;65;C;5
27;65;1;5
68;65;C;5
81;65;2;2
97;65;2;2
126;65;C;5
1;66;L;0.5
7;66;L;0.5
8;66;C;5
14;66;2;2
31;66;C;5
35;66;C;5
40;66;3;1
45;66;3;1
53;66;1;5
59;66;2;2
114;66;C;5
9;67;3;1
25;67;C;5
34;67;C;5
40;67;C;5
41;67;C;5
54;67;1;5
55;67;C;5
60;67;C;5
62;67;C3;6
63;67;2;2
100;67;C;5
104;67;1;5
118;67;C;5
127;67;1;5
9;68;C;5
65;68;C;5
78;68;1;5
126;68;C;5
1;69;C;5
6;69;C;5
11;69;C;5
30;69;C;5
41;69;1;5
47;69;C;5
49;69;C;5
51;69;C;5
52;69;C;5
59;69;C;5
72;69;C2;7
73;69;C;5
74;69;2;2
76;69;C1;10
84;69;C;5
90;69;C;5
94;69;C;5
96;69;1;5
105;69;3;1
110;69;C;5
119;69;C1;10
26;70;C;5
42;70;C;5
45;70;1;5
83;70;C;5
10;71;C;5
21;71;2;2
44;71;1;5
46;71;1;5
58;71;C;5
72;71;1;5
79;71;3;1
92;71;C;5
97;71;C;5
115;71;1;5
126;71;2;2
1;72;C3;6
6;72;C;5
11;72;C;5
14;72;1;5
15;72;2;2
30;72;C;5
47;72;C;5
49;72;C;5
51;72;C;5
52;72;C;5
59;72;C;5
69;72;C2;7
71;72;1;5
73;72;C;5
76;72;C;5
84;72;C;5
90;72;C;5
94;72;C;5
110;72;C;5
119;72;C;5
1;73;C;5
6;73;C;5
11;73;C;5
13;73;2;2
25;73;1;10
30;73;C1;10
47;73;C;5
49;73;C;5
51;73;C;5
52;73;C;5
59;73;C;5
69;73;C;5
72;73;C;5
76;73;C;5
84;73;C;5
90;73;C;5
94;73;C;5
97;73;3;1
110;73;C;5
119;73;C;5
4;74;C;5
14;74;C;5
18;74;C;5
41;74;2;2
59;74;1;5
69;74;2;2
79;74;C;5
89;74;3;1
107;74;1;5
111;74;C;5
121;74;C;5
122;74;C;5
22;75;C;5
25;75;2;2
26;75;1;5
39;75;C;5
54;75;1;5
56;75;1;5
81;75;C;5
87;75;C;5
89;75;C3;6
112;75;C;5
120;75;C;5
123;75;2;2
1;76;C;5
6;76;C;5
11;76;C;5
24;76;1;5
30;76;C;5
34;76;3;1
47;76;C;5
49;76;C1;10
50;76;3;1
51;76;C;5
52;76;C;5
59;76;C;5
69;76;C1;10
72;76;C;5
73;76;C;5
84;76;C;5
90;76;C;5
94;76;C;5
105;76;1;5
110;76;C;5
115;76;2;2
119;76;C;5
1;77;2;2
104;77;1;5
111;77;2;2
17;78;C;5
35;78;2;2
57;78;1;5
63;78;1;5
64;78;C;5
68;78;1;5
88;78;C;5
90;78;2;2
95;78;C;5
124;78;C;5
128;78;1;5
4;79;C;5
13;79;2;2
14;79;C;5
18;79;C;5
33;79;1;5
46;79;2;2
56;79;3;1
62;79;1;5
64;79;2;2
71;79;3;1
74;79;C;5
84;79;2;2
96;79;3;1
111;79;C;5
121;79;C;5
122;79;C;5
6;80;1;5
7;80;2;2
32;80;2;2
96;80;2;2
105;80;1;5
4;81;2;2
7;81;1;5
8;81;2;2
22;81;C;5
33;81;1;5
39;81;C;5
62;81;1;5
65;81;2;2
75;81;C;5
87;81;C;5
89;81;C;5
102;81;1;5
112;81;C;5
120;81;C;5
15;82;1;5
27;82;C;5
47;82;2;2
99;82;C;5
101;82;1;5
108;82;C;5
113;82;1;5
1;83;3;1
5;83;1;5
26;83;C;5
42;83;C;5
52;83;1;5
70;83;C;5
102;83;2;2
119;83;2;2
125;83;1;5
1;84;C;5
6;84;C;5
7;84;2;2
11;84;C;5
30;84;C;5
47;84;C;5
49;84;C;5
51;84;C;5
52;84;C;5
59;84;C;5
69;84;C;5
72;84;C;5
73;84;C;5
76;84;C;5
79;84;2;2
90;84;C;5
92;84;1;5
94;84;C;5
110;84;C;5
119;84;C;5
124;84;1;5
126;84;1;5
38;85;C;5
32;86;C;5
44;86;C;5
99;86;2;2
118;86;1;5
2;87;1;5
22;87;C;5
34;87;2;2
39;87;C;5
50;87;2;2
52;87;1;5
60;87;1;5
75;87;C;5
81;87;C;5
89;87;C;5
111;87;1;5
112;87;C;5
120;87;C;5
17;88;C;5
64;88;C;5
78;88;C;5
95;88;C;5
124;88;C;5
2;89;2;2
3;89;12;7
9;89;3;1
22;89;C;5
30;89;1;5
39;89;C;5
51;89;1;5
52;89;2;2
55;89;2;2
74;89;3;1
75;89;C3;6
81;89;C;5
87;89;C;5
112;89;C;5
120;89;C;5
1;90;C;5
6;90;C;5
11;90;C;5
30;90;C;5
47;90;C1;10
49;90;C;5
51;90;C;5
52;90;C;5
54;90;1;5
59;90;C;5
60;90;3;1
69;90;C;5
72;90;C;5
73;90;C;5
76;90;C;5
78;90;2;2
84;90;C;5
94;90;C;5
95;90;1;5
107;90;3;1
110;90;C;5
119;90;C;5
126;90;12;7
2;91;1;5
8;91;1;5
9;91;1;5
32;91;2;2
54;91;C;5
7;92;1;5
10;92;C;5
34;92;12;7
53;92;2;2
58;92;C;5
71;92;C;5
84;92;1;5
97;92;C;5
7;93;C;5
12;93;C;5
16;93;C;5
20;93;C;5
36;93;C;5
37;93;C;5
53;93;C;5
57;93;C;5
125;93;C;5
1;94;C;5
6;94;C;5
11;94;C;5
30;94;C;5
47;94;C;5
49;94;C;5
51;94;C;5
52;94;C;5
59;94;C;5
69;94;C;5
72;94;C;5
73;94;C;5
76;94;C;5
84;94;C;5
90;94;C;5
110;94;C;5
115;94;1;5
118;94;2;2
119;94;C;5
124;94;1;5
127;94;1;5
17;95;C;5
34;95;3;2
35;95;2;2
42;95;2;2
50;95;1;5
54;95;2;2
63;95;L;0.5
64;95;C;5
78;95;C;5
88;95;C;5
90;95;1;5
100;95;1;5
101;95;2;2
111;95;L;0.5
121;95;3;1
124;95;C;5
127;95;L;0.5
2;96;C;5
23;96;C;5
39;96;1;5
41;96;1;5
69;96;1;5
79;96;3;1
80;96;2;2
102;96;C;5
10;97;C;5
32;97;L;0.5
58;97;C;5
65;97;2;2
71;97;C;5
73;97;3;1
92;97;C;5
101;97;2;2
107;97;1;5
13;98;C;5
103;98;C;5
