Source;Target;Label;Weight
4;1;2;2
17;1;L;0.5
28;1;2;2
31;1;L;0.5
33;1;L;0.5
37;1;3;1
44;1;2;2
49;1;L;0.5
61;1;C;5
73;1;1;5
87;1;L;0.5
95;1;L;0.5
100;1;3;1
105;1;3;1
119;1;L;0.5
123;1;C;5
40;2;2;2
47;2;3;1
59;2;1;5
67;2;C;5
88;2;1;5
1;4;2;2
105;4;1;5
127;4;1;5
38;5;C;5
44;5;C;5
47;5;C;5
57;5;C;5
88;5;C;5
99;5;C;5
107;5;C;5
114;5;C;5
60;6;1;5
97;6;C;5
9;7;C;5
19;7;C;5
35;7;C;5
51;7;1;5
55;7;C;5
58;7;2;2
69;7;C;5
90;7;C;5
92;7;C;5
94;7;C;5
95;7;L;0.5
127;7;3;1
16;8;C;5
20;8;C;5
29;8;C;5
42;8;2;2
46;8;C;5
49;8;C;5
52;8;C;5
54;8;C;5
56;8;C;5
65;8;C;5
89;8;C;5
101;8;C;5
115;8;1;5
119;8;C;5
127;8;2;2
7;9;C;5
19;9;C;5
28;9;2;2
35;9;C;5
43;9;2;2
49;9;3;1
55;9;C;5
64;9;1;5
69;9;C;5
77;9;1;5
90;9;C;5
92;9;C;5
94;9;C;5
104;9;3;1
123;9;23;3
32;10;C;5
53;10;C;5
72;10;C;5
78;10;C;5
86;10;C;5
110;10;C;5
55;11;2;2
56;11;1;5
71;11;C;5
73;11;C;5
80;11;C;5
96;11;C;5
98;11;C;5
102;11;C;5
26;12;C;5
28;12;C;5
30;12;C;5
31;12;3;1
45;12;1;5
46;12;1;5
79;12;C;5
81;12;C1;10
87;12;C;5
97;12;2;2
104;12;C;5
121;12;C;5
128;12;C;5
17;13;2;2
35;13;1;5
80;13;1;5
8;16;C;5
17;16;L;0.5
20;16;C;5
29;16;C;5
46;16;C;5
49;16;C;5
52;16;C;5
54;16;C;5
56;16;C;5
65;16;CL;5.5
69;16;2;2
76;16;1;5
81;16;3;1
89;16;C;5
95;16;1;5
101;16;C;5
119;16;C;5
1;17;L;0.5
13;17;2;2
16;17;L;0.5
23;17;L;0.5
42;17;3;1
47;17;3;1
66;17;C;5
73;17;3;1
108;17;C;5
127;17;L;0.5
7;19;C;5
9;19;C;5
32;19;1;5
35;19;C;5
54;19;1;5
55;19;C;5
69;19;C;5
77;19;3;1
90;19;C;5
92;19;C;5
94;19;C;5
95;19;2;2
8;20;C;5
16;20;C;5
28;20;2;2
29;20;C;5
31;20;3;1
46;20;C2;7
49;20;C;5
52;20;C;5
54;20;C;5
56;20;C3;6
65;20;C2;7
71;20;1;5
87;20;2;2
89;20;C;5
101;20;C;5
119;20;C;5
17;23;L;0.5
33;23;C;5
61;23;3;1
63;23;L;0.5
67;23;2;2
72;23;1;5
82;23;1;5
95;23;L;0.5
113;23;3;1
127;23;L;0.5
12;26;C;5
28;26;C;5
30;26;C;5
32;26;2;2
33;26;L;0.5
39;26;2;2
55;26;3;1
63;26;2;2
68;26;1;5
79;26;C;5
81;26;C;5
87;26;C;5
104;26;C;5
106;26;1;5
119;26;3;1
121;26;C;5
128;26;C;5
32;27;3;1
42;27;1;5
87;27;1;5
96;27;1;5
128;27;2;2
1;28;2;2
9;28;2;2
12;28;C;5
20;28;2;2
26;28;C;5
30;28;C;5
59;28;1;5
79;28;C3;6
81;28;C;5
87;28;C;5
103;28;1;5
104;28;C;5
119;28;2;2
121;28;C;5
128;28;C;5
8;29;C;5
16;29;C;5
20;29;C;5
32;29;2;2
33;29;3;1
35;29;2;2
46;29;C;5
49;29;C;5
52;29;C;5
54;29;C;5
56;29;C;5
65;29;C1;10
89;29;C;5
90;29;1;5
101;29;C;5
108;29;2;2
113;29;2;2
119;29;C;5
12;30;C;5
26;30;C;5
28;30;C;5
42;30;2;2
65;30;3;1
66;30;2;2
71;30;1;5
79;30;C;5
81;30;C;5
87;30;C;5
91;30;1;5
97;30;2;2
104;30;C;5
111;30;3;1
121;30;C;5
125;30;2;2
128;30;C;5
1;31;L;0.5
12;31;3;1
20;31;3;1
32;31;23;3
33;31;L;0.5
44;31;1;5
53;31;2;2
71;31;1;5
83;31;C;5
127;31;L;0.5
128;31;3;1
10;32;C;5
19;32;1;5
26;32;2;2
27;32;3;1
29;32;2;2
31;32;23;3
42;32;1;5
53;32;C;5
58;32;1;5
72;32;C;5
78;32;C;5
79;32;3;1
86;32;C;5
93;32;2;2
110;32;C;5
1;33;L;0.5
23;33;C;5
26;33;L;0.5
29;33;3;1
31;33;L;0.5
61;33;3;1
94;33;1;5
110;33;1;5
128;33;1;5
76;34;1;5
78;34;1;5
81;34;1;5
7;35;C;5
9;35;C;5
13;35;1;5
19;35;C;5
29;35;2;2
55;35;C;5
58;35;2;2
60;35;1;5
69;35;C;5
87;35;3;1
90;35;C;5
92;35;C;5
94;35;C;5
113;35;3;1
128;35;1;5
41;36;C;5
62;36;C;5
81;36;2;2
82;36;C;5
89;36;3;1
103;36;1;5
105;36;1;5
106;36;C;5
116;36;C2;7
117;36;C;5
121;36;1;5
1;37;3;1
45;37;C;5
89;37;2;2
103;37;C;5
113;37;1;5
117;37;1;10
5;38;C;5
44;38;C;5
47;38;C;5
49;38;2;2
57;38;C;5
74;38;1;5
88;38;C;5
99;38;C;5
107;38;C;5
114;38;C;5
26;39;2;2
51;39;C2;7
89;39;3;1
92;39;2;2
95;39;3;1
113;39;1;5
118;39;1;5
127;39;C;5
2;40;2;2
56;40;2;2
57;40;1;5
100;40;1;5
111;40;2;2
123;40;1;5
36;41;C;5
62;41;C;5
74;41;1;5
82;41;C1;10
106;41;C;5
116;41;C;5
117;41;C;5
8;42;2;2
17;42;3;1
27;42;1;5
30;42;2;2
32;42;1;5
47;42;2;2
83;42;1;5
9;43;2;2
82;43;1;5
99;43;1;5
111;43;C;5
127;43;2;2
1;44;2;2
5;44;C;5
31;44;1;5
38;44;C;5
47;44;C;5
54;44;1;5
57;44;C;5
79;44;1;5
88;44;C;5
99;44;C;5
107;44;C;5
114;44;C;5
12;45;1;5
37;45;C;5
52;45;1;5
79;45;2;2
95;45;2;2
103;45;C;5
127;45;3;1
8;46;C;5
12;46;1;5
16;46;C;5
20;46;C2;7
29;46;C;5
49;46;C;5
52;46;C;5
54;46;C;5
56;46;C;5
65;46;C;5
73;46;1;5
81;46;2;2
89;46;C;5
101;46;C;5
119;46;C;5
124;46;1;5
2;47;3;1
5;47;C;5
17;47;3;1
38;47;C;5
42;47;2;2
44;47;C;5
57;47;C;5
60;47;1;5
88;47;C;5
96;47;2;2
99;47;C;5
104;47;3;1
106;47;2;2
107;47;C;5
114;47;C;5
119;47;3;1
121;47;1;5
100;48;C;5
118;48;1;5
1;49;L;0.5
8;49;C;5
9;49;3;1
16;49;C;5
20;49;C;5
29;49;C;5
38;49;2;2
46;49;C;5
52;49;C;5
54;49;C;5
56;49;C3;6
65;49;C;5
77;49;12;7
88;49;2;2
89;49;C;5
98;49;1;5
101;49;C;5
119;49;C;5
127;49;L;0.5
58;50;C;5
91;50;C;5
7;51;1;5
39;51;C2;7
81;51;2;2
96;51;1;5
101;51;1;5
127;51;C;5
8;52;C;5
16;52;C;5
20;52;C;5
29;52;C;5
45;52;1;5
46;52;C;5
49;52;C;5
54;52;C;5
56;52;C;5
65;52;C3;6
73;52;2;2
89;52;C;5
101;52;C;5
119;52;C;5
10;53;C;5
31;53;2;2
32;53;C;5
72;53;C;5
78;53;C;5
86;53;C;5
110;53;C;5
8;54;C;5
16;54;C;5
19;54;1;5
20;54;C;5
29;54;C;5
44;54;1;5
46;54;C;5
49;54;C;5
52;54;C;5
56;54;C;5
65;54;C;5
76;54;1;5
89;54;C;5
95;54;2;2
101;54;C;5
119;54;C;5
123;54;1;5
127;54;2;2
7;55;C;5
9;55;C;5
11;55;2;2
19;55;C;5
26;55;3;1
35;55;C;5
63;55;3;1
69;55;C;5
74;55;12;7
90;55;C;5
92;55;C;5
94;55;C1;15
95;55;3;1
96;55;2;2
8;56;C;5
11;56;1;5
16;56;C;5
20;56;C3;6
29;56;C;5
40;56;2;2
46;56;C;5
49;56;C3;6
52;56;C;5
54;56;C;5
65;56;C;5
71;56;1;5
73;56;1;5
89;56;C;5
101;56;C;5
119;56;C;5
5;57;C;5
38;57;C;5
40;57;1;5
44;57;C;5
47;57;C;5
68;57;2;2
81;57;3;1
88;57;C;5
99;57;C;5
107;57;C;5
114;57;C;5
118;57;2;2
125;57;1;5
128;57;1;5
7;58;2;2
32;58;1;5
35;58;2;2
50;58;C;5
91;58;C;5
99;58;1;5
119;58;1;5
2;59;1;5
28;59;1;5
100;59;1;5
104;59;2;2
6;60;1;5
35;60;1;5
47;60;1;5
119;60;1;5
121;60;2;2
127;60;3;1
1;61;C;5
23;61;3;1
33;61;3;1
67;61;2;2
73;61;2;2
98;61;1;5
104;61;1;5
123;61;C;5
36;62;C;5
41;62;C;5
77;62;1;5
79;62;2;2
82;62;C;5
106;62;C;5
116;62;C;5
117;62;C;5
23;63;L;0.5
26;63;2;2
55;63;3;1
68;63;C;5
81;63;3;1
91;63;1;5
105;63;C;5
9;64;1;5
127;64;1;5
8;65;C;5
16;65;CL;5.5
20;65;C2;7
29;65;C1;10
30;65;3;1
46;65;C;5
49;65;C;5
52;65;C3;6
54;65;C;5
56;65;C;5
89;65;C;5
93;65;1;5
95;65;L;0.5
101;65;C;5
119;65;C;5
127;65;L;0.5
17;66;C;5
30;66;2;2
97;66;2;2
100;66;3;1
108;66;C;5
116;66;1;5
127;66;2;2
2;67;C;5
23;67;2;2
61;67;2;2
87;67;1;5
26;68;1;5
57;68;2;2
63;68;C;5
81;68;3;1
94;68;1;5
104;68;1;5
105;68;C1;10
7;69;C;5
9;69;C;5
16;69;2;2
19;69;C;5
35;69;C;5
55;69;C;5
90;69;C;5
92;69;C;5
94;69;C;5
98;69;1;5
105;69;2;2
124;69;1;5
11;71;C;5
20;71;1;5
30;71;1;5
31;71;1;5
56;71;1;5
73;71;C;5
80;71;C;5
96;71;C;5
98;71;C;5
102;71;C;5
10;72;C;5
23;72;1;5
32;72;C;5
53;72;C;5
78;72;C;5
86;72;C;5
110;72;C;5
123;72;1;5
1;73;1;5
11;73;C;5
17;73;3;1
46;73;1;5
52;73;2;2
56;73;1;5
61;73;2;2
71;73;C;5
78;73;2;2
80;73;C;5
96;73;C;5
97;73;3;1
98;73;C;5
102;73;C;5
38;74;1;5
41;74;1;5
55;74;12;7
16;76;1;5
34;76;1;5
54;76;1;5
81;76;2;2
100;76;1;5
9;77;1;5
19;77;3;1
49;77;12;7
62;77;1;5
93;77;1;5
101;77;2;2
10;78;C;5
32;78;C;5
34;78;1;5
53;78;C;5
72;78;C;5
73;78;2;2
82;78;2;2
86;78;C;5
106;78;1;5
110;78;C;5
127;78;3;1
12;79;C;5
26;79;C;5
28;79;C3;6
