Source;Target;Label;Weight
11;1;3;1
15;1;L;0.5
26;1;3;1
31;1;L;0.5
50;1;L;0.5
51;1;C;5
78;1;C;5
88;1;3;1
110;1;2;2
128;1;2;2
13;2;C;5
23;2;1;5
31;2;13;6
61;2;C;5
68;2;C;5
72;2;2;2
89;2;C;5
92;2;C;5
95;2;3;1
115;2;1;5
118;2;C;5
119;2;2;2
33;3;1;5
68;3;1;5
85;3;1;5
19;4;C;5
29;4;C;5
41;4;C;5
46;4;C;5
47;4;C;5
50;4;C;5
70;4;C;5
80;4;C;5
90;4;C;5
96;4;C;5
100;4;C;5
102;4;C;5
108;4;C;5
113;4;C;5
114;4;C;5
117;4;C;5
17;5;C;5
23;5;2;2
27;5;2;2
29;5;1;5
47;5;3;1
57;5;C;5
59;5;C;5
67;5;1;5
71;5;C;5
73;5;C;5
77;5;C;5
87;5;C;5
95;5;C;5
119;5;C;5
128;5;C;5
9;6;1;5
68;6;1;5
84;6;3;1
95;6;2;2
96;6;2;2
21;7;C;5
33;7;2L;2.5
36;7;C;5
49;7;C;5
57;7;3;1
62;7;C;5
80;7;1;5
103;7;2;2
107;7;C;5
113;7;3;1
123;7;C1;10
6;9;1;5
20;9;C;5
26;9;C;5
28;9;C;5
40;9;C1;10
50;9;3;1
51;9;3;1
58;9;C;5
61;9;1;5
66;9;2;2
82;9;C;5
84;9;C;5
86;9;C;5
103;9;C;5
122;9;2;2
32;10;C;5
55;10;C;5
66;10;1;5
87;10;1;5
88;10;C;5
94;10;C;5
97;10;2;2
98;10;C;5
125;10;1;5
1;11;3;1
36;11;1;5
37;11;C;5
39;11;C;5
90;11;2;2
91;11;2;2
54;12;1;5
97;12;2;2
2;13;C;5
31;13;2;2
61;13;C;5
68;13;C;5
82;13;2;2
89;13;C;5
92;13;C;5
108;13;1;5
118;13;C;5
1;15;L;0.5
18;15;3;1
81;15;C;5
84;15;2;2
113;15;L;0.5
18;16;C;5
48;16;C;5
56;16;C;5
58;16;1;5
74;16;C;5
78;16;1;5
97;16;1;5
122;16;C;5
5;17;C;5
33;17;1;5
57;17;C;5
59;17;C;5
71;17;C;5
73;17;C;5
77;17;C;5
87;17;C;5
95;17;C;5
98;17;1;5
119;17;C;5
127;17;1;5
128;17;C;5
15;18;3;1
16;18;C;5
40;18;2;2
48;18;C;5
56;18;C;5
68;18;2;2
74;18;C;5
78;18;2;2
93;18;1;5
95;18;3;1
122;18;C;5
4;19;C;5
22;19;2;2
29;19;C;5
41;19;C;5
46;19;C;5
47;19;C;5
50;19;C;5
56;19;1;5
70;19;C;5
80;19;C;5
82;19;1;5
90;19;C;5
96;19;C;5
100;19;C3;6
102;19;C;5
108;19;C;5
113;19;C;5
114;19;C;5
117;19;C;5
122;19;1;5
9;20;C;5
26;20;C;5
28;20;C;5
40;20;C;5
58;20;C;5
67;20;1;5
82;20;C;5
84;20;C;5
86;20;C;5
91;20;2;2
103;20;C;5
105;20;3;1
111;20;1;5
7;21;C;5
36;21;C;5
49;21;C;5
62;21;C;5
107;21;C;5
123;21;C;5
19;22;2;2
91;22;1;5
98;22;1;5
2;23;1;5
5;23;2;2
123;23;1;5
49;25;1;5
79;25;2;2
1;26;3;1
9;26;C;5
20;26;C;5
28;26;C;5
40;26;C;5
58;26;C;5
65;26;L;0.5
70;26;1;5
82;26;C;5
84;26;C;5
86;26;C;5
94;26;2;2
103;26;C;5
115;26;2;2
126;26;1;5
127;26;3;1
5;27;2;2
53;27;1;5
73;27;3;1
95;27;1;5
111;27;3;1
127;27;2;2
9;28;C;5
20;28;C;5
26;28;C;5
40;28;C;5
51;28;2;2
57;28;2;2
58;28;C;5
82;28;C;5
84;28;C;5
86;28;C;5
103;28;C;5
118;28;1;5
4;29;C;5
5;29;1;5
19;29;C;5
31;29;2;2
41;29;C;5
46;29;C;5
47;29;C1;10
50;29;C;5
70;29;C;5
79;29;2;2
80;29;C;5
90;29;C;5
96;29;C;5
100;29;C;5
102;29;C;5
103;29;2;2
108;29;C;5
113;29;C;5
114;29;C;5
117;29;C;5
36;30;1;5
52;30;1;5
91;30;1;5
98;30;2;2
1;31;L;0.5
2;31;13;6
13;31;2;2
29;31;2;2
33;31;L;0.5
100;31;3;1
104;31;C;5
114;31;2;2
10;32;C;5
55;32;C;5
88;32;C;5
94;32;C;5
98;32;C;5
3;33;1;5
7;33;2L;2.5
17;33;1;5
31;33;L;0.5
50;33;L;0.5
78;33;3;1
91;33;3;1
103;33;2;2
47;35;2;2
57;35;1;5
78;35;2;2
92;35;1;5
101;35;1;5
7;36;C;5
11;36;1;5
21;36;C;5
30;36;1;5
41;36;2;2
49;36;C;5
62;36;C;5
107;36;C;5
123;36;C;5
11;37;C;5
39;37;C;5
55;37;2;2
65;37;2;2
66;37;3;1
71;37;1;5
80;37;1;5
95;37;2;2
11;39;C;5
37;39;C;5
57;39;2;2
59;39;12;7
62;39;1;5
96;39;2;2
9;40;C1;10
18;40;2;2
20;40;C;5
26;40;C;5
28;40;C;5
58;40;C;5
82;40;C;5
84;40;C;5
85;40;1;5
86;40;C;5
103;40;C;5
4;41;C;5
19;41;C;5
29;41;C;5
36;41;2;2
46;41;C;5
47;41;C;5
50;41;C;5
51;41;1;5
70;41;C;5
79;41;3;1
80;41;C;5
83;41;1;5
90;41;C;5
96;41;C;5
100;41;C;5
102;41;C;5
108;41;C;5
113;41;C;5
114;41;C;5
117;41;C;5
119;41;3;1
128;41;2;2
83;43;1;5
98;43;2;2
125;43;1;5
128;43;1;5
50;45;1;5
67;45;C;5
115;45;C;5
4;46;C;5
19;46;C;5
29;46;C;5
41;46;C;5
47;46;C;5
50;46;C;5
70;46;C;5
80;46;C;5
90;46;C;5
96;46;C;5
100;46;C;5
102;46;C;5
108;46;C;5
113;46;C;5
114;46;C;5
117;46;C;5
4;47;C;5
5;47;3;1
19;47;C;5
29;47;C1;10
35;47;2;2
41;47;C;5
46;47;C;5
50;47;C;5
56;47;3;1
70;47;C;5
72;47;1;5
80;47;C;5
81;47;1;5
90;47;C;5
96;47;C;5
100;47;C;5
102;47;C;5
108;47;C;5
113;47;CL;5.5
114;47;C;5
117;47;C;5
127;47;L;0.5
16;48;C;5
18;48;C;5
55;48;2;2
56;48;C;5
65;48;1;10
74;48;C;5
116;48;1;5
122;48;C;5
7;49;C;5
21;49;C;5
25;49;1;5
36;49;C;5
62;49;C;5
107;49;C;5
123;49;C;5
1;50;L;0.5
4;50;C;5
9;50;3;1
19;50;C;5
29;50;C;5
33;50;L;0.5
41;50;C;5
45;50;1;5
46;50;C;5
47;50;C;5
53;50;3;1
70;50;C;5
80;50;C;5
82;50;3;1
90;50;C;5
96;50;C;5
100;50;C;5
102;50;C;5
108;50;C;5
113;50;C;5
114;50;C;5
116;50;2;2
117;50;C;5
127;50;L;0.5
1;51;C;5
9;51;3;1
28;51;2;2
