Source;Target;Label;Weight
3;1;C3;6
14;1;1;5
16;1;L;0.5
22;1;3;1
34;1;L;0.5
36;1;C;5
37;1;C;5
41;1;2;2
42;1;1;5
47;1;L;0.5
58;1;C;5
59;1;C;5
93;1;2;2
105;1;L;0.5
111;1;L;0.5
115;1;C;5
7;2;1;5
41;2;1;5
48;2;C;5
49;2;C;5
56;2;1;5
86;2;C;5
97;2;3;1
119;2;1;5
120;2;C;5
1;3;C3;6
7;3;1;5
14;3;1;5
16;3;3;1
36;3;C;5
37;3;C;5
46;3;2;2
58;3;C;5
59;3;C;5
71;3;2;2
78;3;1;5
115;3;C;5
14;4;C;5
26;4;C;5
46;4;C;5
102;4;C;5
109;4;C;5
39;5;2;2
43;5;1;5
60;5;C;5
65;5;C;5
88;5;1;5
98;5;C;5
113;5;C;5
125;5;C;5
17;6;1;5
21;6;1;5
45;6;C;5
79;6;C;5
125;6;2;2
128;6;C;5
2;7;1;5
3;7;1;5
15;7;2;2
19;7;C;5
34;7;C;5
36;7;3;1
40;7;C;5
68;7;C;5
82;7;C;5
23;8;3;1
47;8;L;0.5
49;8;2;2
50;8;C;5
59;8;1;5
63;8;1;5
71;8;C;5
72;8;1;5
94;8;2;2
96;8;1;5
23;9;C;5
41;9;1;5
43;9;C;5
70;9;C;5
78;9;C;5
94;9;C;5
124;9;C;5
20;10;C;5
42;10;3;1
47;10;3;1
53;10;C;5
55;10;C;5
56;10;C;5
63;10;C;5
67;10;C;5
72;10;2;2
75;10;2;2
81;10;C;5
94;10;1;5
103;10;C;5
104;10;C;5
106;10;C;5
114;10;C;5
127;10;3;1
58;11;1;5
60;11;1;5
79;11;2;2
95;11;2;2
97;11;3;1
111;11;2;2
14;12;1;5
15;12;C;5
21;12;C;5
22;12;C;5
28;12;C;5
29;12;C;5
30;12;C1;10
33;12;C;5
41;12;C;5
47;12;C2;7
51;12;C;5
54;12;C;5
55;12;1;5
85;12;C;5
116;12;C;5
121;12;C;5
123;12;C;5
127;12;C;5
60;13;1;5
68;13;1;5
76;13;C;5
79;13;3;1
89;13;C;5
90;13;C;5
117;13;C;5
119;13;C1;10
123;13;2;2
1;14;1;5
3;14;1;5
4;14;C;5
12;14;1;5
26;14;C;5
46;14;C;5
65;14;2;2
88;14;1;5
102;14;C;5
109;14;C;5
7;15;2;2
12;15;C;5
16;15;3;1
21;15;C;5
22;15;C1;10
28;15;C;5
29;15;C;5
30;15;C;5
33;15;C;5
41;15;C;5
47;15;C;5
51;15;C;5
54;15;C;5
74;15;1;5
85;15;C;5
109;15;1;5
116;15;C;5
120;15;1;5
121;15;C;5
122;15;2;2
123;15;C;5
127;15;C;5
1;16;L;0.5
3;16;3;1
15;16;3;1
21;16;1;5
28;16;2;2
43;16;2;2
52;16;C;5
80;16;C;5
100;16;C;5
101;16;C;5
120;16;1;5
123;16;2;2
6;17;1;5
23;17;1;5
31;17;C;5
32;17;3;1
57;17;2;2
60;17;1;5
66;17;C;5
72;17;C;5
81;17;3;1
91;17;2;2
94;17;2;2
95;17;L;0.5
97;17;3;1
98;17;2;2
114;17;3;1
27;18;C;5
31;18;2;2
44;18;C;5
64;18;1;5
97;18;C;5
125;18;3;1
7;19;C;5
34;19;C;5
40;19;C;5
49;19;1;5
68;19;C;5
82;19;C1;10
10;20;C;5
53;20;C;5
55;20;C;5
56;20;C;5
63;20;C;5
67;20;C;5
81;20;C;5
103;20;C;5
104;20;C;5
106;20;C;5
114;20;C;5
6;21;1;5
12;21;C;5
15;21;C;5
16;21;1;5
22;21;C;5
28;21;C;5
29;21;C;5
30;21;C;5
33;21;C;5
41;21;C;5
47;21;C;5
51;21;C;5
54;21;C;5
85;21;C;5
116;21;C;5
121;21;C;5
123;21;C;5
127;21;C;5
128;21;1;5
1;22;3;1
12;22;C;5
15;22;C1;10
21;22;C;5
28;22;C;5
29;22;C;5
30;22;C;5
33;22;C;5
41;22;C;5
46;22;1;5
47;22;C;5
51;22;C;5
54;22;C;5
81;22;1;5
85;22;C;5
116;22;C1;10
121;22;C;5
123;22;C;5
127;22;C;5
8;23;3;1
9;23;C;5
17;23;1;5
34;23;1;5
41;23;3;1
43;23;C;5
50;23;1;5
70;23;C;5
78;23;C;5
88;23;2;4
89;23;2;2
94;23;C;5
111;23;L;0.5
124;23;C;5
30;24;1;5
36;24;2;2
56;24;1;5
76;24;1;5
118;24;1;5
31;25;2;2
52;25;1;5
69;25;C;5
100;25;2;2
105;25;L;0.5
120;25;3;1
4;26;C;5
14;26;C;5
34;26;1;5
46;26;C;5
76;26;1;5
102;26;C;5
109;26;C;5
115;26;1;5
18;27;C;5
44;27;C;5
97;27;C;5
115;27;1;5
12;28;C;5
15;28;C;5
16;28;2;2
21;28;C;5
22;28;C;5
29;28;C;5
30;28;C;5
33;28;C;5
37;28;1;5
41;28;C;5
47;28;C;5
51;28;C;5
54;28;C;5
85;28;C;5
90;28;1;5
95;28;1;5
116;28;C;5
121;28;C;5
123;28;C;5
127;28;C2;7
12;29;C;5
15;29;C;5
21;29;C;5
22;29;C;5
28;29;C;5
30;29;C;5
33;29;C;5
41;29;C;5
47;29;C;5
51;29;C;5
54;29;C;5
77;29;1;5
85;29;C;5
116;29;C;5
121;29;C;5
122;29;1;5
123;29;C;5
125;29;2;2
127;29;C;5
128;29;1;5
12;30;C1;10
15;30;C;5
21;30;C;5
22;30;C;5
24;30;1;5
28;30;C;5
29;30;C;5
33;30;C;5
41;30;C;5
47;30;C;5
49;30;2;2
51;30;C;5
54;30;C;5
55;30;1;5
85;30;C;5
116;30;C;5
121;30;C;5
123;30;C;5
127;30;C;5
17;31;C;5
18;31;2;2
25;31;2;2
33;31;L;0.5
66;31;C;5
72;31;C;5
80;31;1;5
88;31;L;0.5
90;31;2;2
92;31;1;5
112;31;2;2
113;31;3;1
126;31;3;1
17;32;3;1
57;32;2;2
123;32;1;5
12;33;C;5
15;33;C;5
21;33;C;5
22;33;C;5
28;33;C;5
29;33;C;5
30;33;C;5
31;33;L;0.5
41;33;C;5
47;33;C;5
51;33;C;5
54;33;C;5
65;33;1;5
81;33;2;2
85;33;C;5
101;33;1;5
116;33;C;5
121;33;C;5
123;33;C;5
127;33;C;5
1;34;L;0.5
7;34;C;5
19;34;C;5
23;34;1;5
26;34;1;5
40;34;C;5
42;34;3;1
52;34;2;2
68;34;C;5
82;34;C;5
109;34;3;1
112;34;1;5
122;34;3;1
125;34;2;2
127;34;L;0.5
38;35;C;5
61;35;C;5
73;35;C;5
88;35;C;5
108;35;C;5
1;36;C;5
3;36;C;5
7;36;3;1
24;36;2;2
37;36;C;5
58;36;C3;6
59;36;C;5
79;36;2;2
81;36;2;2
86;36;1;5
87;36;1;5
115;36;C;5
120;36;2;2
127;36;3;1
1;37;C;5
3;37;C;5
28;37;1;5
36;37;C;5
42;37;2;2
54;37;1;5
58;37;C;5
59;37;C;5
77;37;1;5
115;37;C;5
123;37;1;5
35;38;C;5
61;38;C;5
73;38;C;5
88;38;C;5
108;38;C;5
5;39;2;2
59;39;2;2
78;39;1;5
84;39;1;5
95;39;3;1
111;39;1;5
7;40;C;5
19;40;C;5
34;40;C;5
58;40;1;5
68;40;C;5
82;40;C;5
101;40;1;5
1;41;2;2
2;41;1;5
9;41;1;5
12;41;C;5
15;41;C;5
21;41;C;5
22;41;C;5
23;41;3;1
28;41;C;5
29;41;C;5
30;41;C;5
33;41;C;5
47;41;C;5
51;41;C;5
54;41;C;5
72;41;2;2
75;41;3;1
79;41;2;2
85;41;C;5
103;41;1;5
116;41;C;5
121;41;C;5
123;41;C;5
127;41;C;5
1;42;1;5
10;42;3;1
34;42;3;1
37;42;2;2
58;42;1;5
69;42;1;5
75;42;1;5
79;42;L;0.5
80;42;2;2
127;42;L;0.5
5;43;1;5
9;43;C;5
16;43;2;2
23;43;C;5
70;43;C;5
78;43;C;5
91;43;1;5
94;43;C;5
109;43;2;2
124;43;C;5
18;44;C;5
27;44;C;5
97;44;C;5
6;45;C;5
46;45;1;5
57;45;1;5
79;45;C;5
128;45;C;5
3;46;2;2
4;46;C;5
14;46;C;5
22;46;1;5
26;46;C;5
45;46;1;5
75;46;2;2
98;46;1;5
102;46;C;5
109;46;C;5
117;46;1;5
1;47;L;0.5
8;47;L;0.5
10;47;3;1
12;47;C2;7
15;47;C;5
21;47;C;5
22;47;C;5
28;47;C;5
29;47;C;5
30;47;C;5
33;47;C;5
41;47;C;5
48;47;1;5
51;47;C;5
54;47;C;5
58;47;3;1
59;47;2;2
85;47;C;5
89;47;3;1
91;47;2;2
92;47;1;5
107;47;1;5
111;47;1;5
116;47;C;5
121;47;C;5
123;47;C;5
127;47;C;5
2;48;C;5
47;48;1;5
49;48;C;5
86;48;C;5
95;48;1;5
120;48;C;5
2;49;C;5
8;49;2;2
19;49;1;5
30;49;2;2
48;49;C;5
74;49;1;5
83;49;1;5
86;49;C;5
109;49;2;2
120;49;C;5
8;50;C;5
23;50;1;5
71;50;C;5
12;51;C;5
15;51;C;5
21;51;C;5
22;51;C;5
28;51;C;5
29;51;C;5
30;51;C;5
33;51;C;5
41;51;C;5
47;51;C;5
54;51;C;5
81;51;3;1
85;51;C;5
116;51;C;5
121;51;C;5
123;51;C;5
127;51;C;5
128;51;2;2
16;52;C;5
25;52;1;5
34;52;2;2
63;52;1;5
76;52;1;5
80;52;C;5
100;52;C;5
101;52;C;5
10;53;C;5
20;53;C;5
55;53;C;5
56;53;C;5
63;53;C;5
67;53;C;5
81;53;C;5
103;53;C;5
104;53;C;5
106;53;C;5
114;53;C;5
12;54;C;5
15;54;C;5
21;54;C;5
22;54;C;5
28;54;C;5
29;54;C;5
30;54;C;5
33;54;C;5
37;54;1;5
41;54;C;5
47;54;C;5
51;54;C;5
85;54;C;5
113;54;2;2
116;54;C;5
121;54;C;5
123;54;C;5
127;54;C2;7
10;55;C;5
12;55;1;5
20;55;C;5
30;55;1;5
53;55;C;5
56;55;C;5
63;55;C3;6
65;55;3;1
66;55;1;5
67;55;C;5
71;55;2;2
76;55;2;2
79;55;3;1
81;55;C;5
99;55;1;5
103;55;C;5
104;55;C;5
106;55;C;5
114;55;C;5
118;55;2;2
127;55;L;0.5
2;56;1;5
10;56;C;5
20;56;C;5
24;56;1;5
53;56;C;5
55;56;C;5
63;56;C;5
67;56;C;5
81;56;C;5
97;56;2;2
103;56;C;5
104;56;C;5
106;56;C;5
113;56;2;2
114;56;C;5
17;57;2;2
32;57;2;2
45;57;1;5
58;57;2;2
64;57;1;5
1;58;C;5
3;58;C;5
11;58;1;5
36;58;C3;6
37;58;C;5
40;58;1;5
42;58;1;5
47;58;3;1
57;58;2;2
59;58;C;5
115;58;C;5
121;58;2;2
1;59;C;5
3;59;C;5
8;59;1;5
36;59;C;5
37;59;C;5
39;59;2;2
47;59;2;2
58;59;C;5
65;59;2;2
111;59;1;5
115;59;C;5
126;59;1;5
5;60;C;5
11;60;1;5
13;60;1;5
17;60;1;5
65;60;C;5
79;60;1;5
95;60;3;1
98;60;C;5
113;60;C;5
119;60;2;4
125;60;C;5
35;61;C;5
38;61;C;5
73;61;C;5
88;61;C;5
108;61;C;5
83;62;1;5
123;62;1;5
8;63;1;5
10;63;C;5
20;63;C;5
52;63;1;5
53;63;C;5
55;63;C3;6
56;63;C;5
67;63;C;5
81;63;C;5
87;63;2;2
103;63;C;5
104;63;C;5
105;63;12;7
106;63;C;5
114;63;C;5
120;63;2;2
18;64;1;5
57;64;1;5
73;64;1;5
124;64;1;5
5;65;C;5
14;65;2;2
33;65;1;5
55;65;3;1
59;65;2;2
60;65;C;5
75;65;L;0.5
98;65;C;5
103;65;3;1
113;65;C;5
125;65;C;5
126;65;1;5
127;65;L;0.5
17;66;C;5
31;66;C;5
55;66;1;5
72;66;C;5
10;67;C;5
20;67;C;5
53;67;C;5
55;67;C;5
56;67;C;5
63;67;C;5
81;67;C;5
103;67;C;5
104;67;C;5
106;67;C;5
114;67;C;5
7;68;C;5
13;68;1;5
19;68;C;5
34;68;C;5
40;68;C;5
79;68;2;2
82;68;C2;7
105;68;3;1
113;68;1;5
114;68;2;2
25;69;C;5
42;69;1;5
99;69;1;5
109;69;1;5
9;70;C;5
23;70;C;5
43;70;C;5
78;70;C;5
94;70;C;5
124;70;C;5
3;71;2;2
8;71;C;5
50;71;C;5
55;71;2;2
100;71;3;1
105;71;1;5
115;71;2;2
124;71;2;2
127;71;L;0.5
8;72;1;5
10;72;2;2
17;72;C;5
31;72;C;5
41;72;2;2
66;72;C;5
86;72;1;5
99;72;1;5
35;73;C;5
38;73;C;5
61;73;C;5
64;73;1;5
76;73;3;1
88;73;C;5
94;73;1;5
97;73;2;2
108;73;C;5
125;73;1;5
15;74;1;5
49;74;1;5
87;74;C;5
95;74;2;2
111;74;C;5
10;75;2;2
41;75;3;1
42;75;1;5
46;75;2;2
65;75;L;0.5
93;75;C;5
95;75;2;2
97;75;2;2
100;75;1;5
106;75;1;5
107;75;C;5
13;76;C;5
24;76;1;5
26;76;1;5
52;76;1;5
55;76;2;2
73;76;3;1
89;76;C;5
90;76;C;5
97;76;1;5
117;76;C;5
119;76;C;5
121;76;2;2
122;76;2;2
127;76;3;1
29;77;1;5
37;77;1;5
3;78;1;5
9;78;C;5
23;78;C;5
39;78;1;5
43;78;C;5
70;78;C;5
91;78;1;5
94;78;C;5
97;78;1;5
111;78;2;2
120;78;2;2
124;78;C;5
6;79;C;5
11;79;2;2
13;79;3;1
36;79;2;2
41;79;2;2
