Source;Target;Label;Weight
9;1;C;5
25;1;C;5
30;1;1;5
32;1;C;5
34;1;C;5
35;1;1;5
42;1;2;2
49;1;3;1
56;1;3;1
61;1;C;5
71;1;L;0.5
81;1;C;5
85;1;2;2
87;1;L;0.5
88;1;C;5
89;1;2;2
91;1;C;5
101;1;1;5
106;1;L;0.5
114;1;3;1
121;1;1;5
128;1;L;0.5
17;2;C;5
33;2;3;1
106;2;2;2
111;2;1;5
6;3;C;5
11;3;C;5
14;3;C;5
22;3;C;5
23;3;C;5
24;3;C;5
28;3;C;5
37;3;C;5
38;3;C;5
40;3;C;5
44;3;C;5
46;3;C;5
47;3;C;5
55;3;C;5
79;3;C;5
94;3;C;5
96;3;C;5
97;3;1;5
108;3;C;5
109;3;C;5
121;3;C;5
122;3;C;5
123;3;C;5
125;3;1;5
9;4;1;5
25;4;1;5
56;4;2;2
10;5;C;5
27;5;C;5
29;5;C;5
36;5;1;5
61;5;1;5
63;5;C;5
92;5;C;5
3;6;C;5
11;6;C;5
14;6;C;5
22;6;C;5
23;6;C;5
24;6;C;5
28;6;C;5
37;6;C;5
38;6;C;5
40;6;C;5
44;6;C;5
46;6;C;5
47;6;C;5
55;6;C;5
79;6;C;5
94;6;C;5
96;6;C;5
108;6;C;5
109;6;C;5
121;6;C;5
122;6;C;5
123;6;C;5
24;7;2;2
31;7;3;1
54;7;C;5
93;7;C;5
101;7;C;5
107;7;12;7
117;7;1;5
119;7;C;5
126;7;1;5
12;8;C;5
19;8;1;5
45;8;C;5
64;8;C;5
68;8;C;5
86;8;C;5
103;8;C;5
104;8;C;5
106;8;1;5
114;8;C;5
1;9;C;5
4;9;1;5
12;9;2;2
15;9;1;5
24;9;1;5
25;9;C;5
32;9;C;5
34;9;C;5
61;9;C;5
63;9;2;2
81;9;C;5
83;9;2;2
87;9;3;1
88;9;C;5
91;9;C;5
5;10;C;5
27;10;C;5
29;10;C;5
43;10;1;5
63;10;C;5
78;10;1;5
92;10;C;5
114;10;1;5
3;11;C;5
6;11;C;5
14;11;C;5
16;11;1;5
22;11;C;5
23;11;C;5
24;11;C;5
28;11;C;5
