Id;Label;Attribute
1;"Karolina Pliskova";1
2;"Magda Linette";1
3;"Nicole Gibbs";1
4;"Veronica Cepede Royg";1
5;"Risa Ozaki";1
6;"Danielle Lao";1
7;"Shuai Zhang";1
8;"Sabine Lisicki";1
9;"Barbora Zahlavova Strycova";1
10;"Misaki Doi";1
11;"Jennifer Brady";1
12;"Andrea Petkovic";1
13;"Ana Bogdan";1
14;"Taylor Townsend";1
15;"Monica Niculescu";1
16;"Kristina Mladenovic";1
17;"Agnieszka Radwanska";1
18;"Petra Martic";1
19;"Yulia Putintseva";1
20;"Sofya Zhuk";1
21;"Ons Jabeur";1
22;"Brienne Minor";1
23;"Coco Vandeweghe";1
24;"Alison Riske";1
25;"Lucie Safarova";1
26;"Anett Kontaveit";1
27;"Nao Hibino";1
28;"Catherine Cartan Bellis";1
29;"Kurumi Nara";1
30;"Sara Sorribes Tormo";1
31;"Svetlana Kuznetsova";1
32;"Marketa Vondrousova";1
33;"Elina Svitolina";1
34;"Katerina Siniakova";1
35;"Evgeniya Rodina";1
36;"Eugenie Bouchard";1
37;"Shelby Rogers";1
38;"Kayla Day";1
39;"Daria Gavrilova";1
40;"Allie Kiick";1
41;"Elena Vesnina";1
42;"Anna Blinkova";1
43;"Kirsten Flipkens";1
44;"Madison Brengle";1
45;"Tatjana Maria";1
46;"Ashley Kratzer";1
47;"Madison Keys";1
48;"Elise Mertens";1
49;"Jelena Ostapenko";1
50;"Lara Arruabarrena";1
51;"Sorana Cirstea";1
52;"Lesley Kerkhove";1
53;"Darya Kasatkina";1
54;"Qiang Wang";1
55;"Christina Mchale";1
56;"Anastasia Pavlyuchenkova";1
57;"Yanina Wickmayer";1
58;"Lesia Tsurenko";1
59;"Kaia Kanepi";1
60;"Francesca Schiavone";1
61;"Denisa Allertova";1
62;"Rebecca Peterson";1
63;"Naomi Osaka";1
64;"Angelique Kerber";1
65;"Caroline Wozniacki";1
66;"Mihaela Buzarnescu";1
67;"Ekaterina Makarova";1
68;"Mona Barthel";1
69;"Carla Suarez Navarro";1
70;"Ipek Soylu";1
71;"Mirjana Lucic";1
72;"Monica Puig";1
73;"Maria Sakkari";1
74;"Kiki Bertens";1
75;"Arina Rodionova";1
76;"Richel Hogenkamp";1
77;"Oceane Dodin";1
78;"Pauline Parmentier";1
79;"Venus Williams";1
80;"Viktoria Kuzmova";1
81;"Petra Kvitova";1
82;"Jelena Jankovic";1
83;"Alize Cornet";1
84;"Heather Watson";1
85;"Ekaterina Alexandrova";1
86;"Anna Zaja";1
87;"Caroline Garcia";1
88;"Tereza Martincova";1
89;"Magdalena Rybarikova";1
90;"Camila Giorgi";1
91;"Kristyna Pliskova";1
92;"Misa Eguchi";1
93;"Ying Ying Duan";1
94;"Claire Liu";1
95;"Garbine Muguruza";1
96;"Varvara Lepchenko";1
97;"Aleksandra Krunic";1
98;"Johanna Konta";1
99;"Ajla Tomljanovic";1
100;"Johanna Larsson";1
101;"Saisai Zheng";1
102;"Alison Van Uytvanck";1
103;"Julia Goerges";1
104;"Annika Beck";1
105;"Ashleigh Barty";1
106;"Ana Konjuh";1
107;"Aliaksandra Sasnovich";1
108;"Julia Boserup";1
109;"Sloane Stephens";1
110;"Roberta Vinci";1
111;"Dominika Cibulkova";1
112;"Jana Cepelova";1
113;"Anastasija Sevastova";1
114;"Carina Witthoeft";1
115;"Kateryna Kozlova";1
116;"Irina Camelia Begu";1
117;"Donna Vekic";1
118;"Beatriz Haddad Maia";1
119;"Shuai Peng";1
120;"Amandine Hesse";1
121;"Sofia Kenin";1
122;"Lauren Davis";1
123;"Sachia Vickery";1
124;"Natalia Vikhlyantseva";1
125;"Timea Babos";1
126;"Viktorija Golubic";1
127;"Maria Sharapova";1
128;"Simona Halep";1
